"","INT_1","INT_2","INT_3","INT_4","LIV_1","LIV_2","LIV_3","LIV_4"
"Smp_000030",2.56185896911196,1.28538694554202,2.97501388153427,2.65586818214325,2.74954660471989,1.28538694554202,3.42208266540914,2.92309289979983
"Smp_000190",2.20221402564359,2.80069977410151,1.28538694554202,2.48273031570476,1.28538694554202,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_000240",2.56185896911196,1.28538694554202,1.28538694554202,2.27197690098691,3.28267082551353,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_000320",2.20221402564359,1.28538694554202,1.28538694554202,2.27197690098691,1.28538694554202,2.29838847545391,3.42208266540914,2.2636584893904
"Smp_000370",2.20221402564359,1.28538694554202,1.28538694554202,1.28538694554202,2.74954660471989,2.84337247017249,1.28538694554202,2.2636584893904
"Smp_000480",2.56185896911196,1.28538694554202,2.76765683897908,3.3531263288872,2.74954660471989,1.28538694554202,1.28538694554202,2.47280567850169
"Smp_000600",2.20221402564359,1.28538694554202,1.28538694554202,2.65586818214325,2.74954660471989,1.28538694554202,1.28538694554202,2.644689809044
"Smp_000640",2.20221402564359,1.28538694554202,1.28538694554202,1.28538694554202,2.74954660471989,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_000820",2.20221402564359,2.80069977410151,1.28538694554202,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_001090",1.93904056942926,1.28538694554202,3.15144546392988,2.27197690098691,3.28267082551353,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_001170",2.56185896911196,1.28538694554202,2.51228725895802,2.65586818214325,2.74954660471989,1.28538694554202,1.28538694554202,2.644689809044
"Smp_001360",2.82598493445811,1.28538694554202,1.28538694554202,1.98967052167573,2.34194128736319,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_001500",2.20221402564359,1.28538694554202,2.97501388153427,2.65586818214325,3.94710549549953,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_001610",3.52146810483221,2.80069977410151,2.76765683897908,3.51940526709639,1.28538694554202,2.84337247017249,4.11507649817148,2.47280567850169
"Smp_001830",2.56185896911196,1.28538694554202,2.51228725895802,2.27197690098691,1.28538694554202,2.69130365696115,1.28538694554202,1.28538694554202
"Smp_002010",1.28538694554202,3.10476932223692,2.16560074465376,2.27197690098691,3.0453781817415,2.51421529061835,1.28538694554202,2.47280567850169
"Smp_002080",2.56185896911196,1.28538694554202,2.97501388153427,2.93616375322469,3.65584041646758,2.69130365696115,1.28538694554202,3.90274529915986
"Smp_002180",2.56185896911196,1.28538694554202,2.51228725895802,2.65586818214325,2.74954660471989,2.29838847545391,1.28538694554202,1.28538694554202
"Smp_002410",2.82598493445811,1.28538694554202,2.51228725895802,1.28538694554202,3.94710549549953,1.28538694554202,1.28538694554202,2.92309289979983
"Smp_002630",2.39937525356049,2.80069977410151,2.76765683897908,2.65586818214325,1.28538694554202,2.97754411992151,1.28538694554202,2.644689809044
"Smp_003250",2.56185896911196,2.80069977410151,2.97501388153427,3.3531263288872,2.74954660471989,2.51421529061835,4.11507649817148,1.98362372481818
"Smp_003410",2.82598493445811,1.28538694554202,1.28538694554202,2.93616375322469,1.28538694554202,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_003660",1.28538694554202,1.28538694554202,3.30584653389383,2.65586818214325,3.65584041646758,2.69130365696115,1.28538694554202,2.92309289979983
"Smp_003930",2.39937525356049,1.28538694554202,2.16560074465376,2.93616375322469,1.28538694554202,2.69130365696115,1.28538694554202,2.2636584893904
"Smp_003980",2.20221402564359,1.28538694554202,2.97501388153427,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,3.147626318167
"Smp_003990",3.03991283982492,3.34801934249986,2.97501388153427,2.65586818214325,3.65584041646758,3.4022685374295,1.28538694554202,1.28538694554202
"Smp_004080",2.56185896911196,2.3803414435335,1.28538694554202,1.98967052167573,1.28538694554202,2.29838847545391,1.28538694554202,3.147626318167
