Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	STAR_mqc-generalstats-star-uniquely_mapped	featureCounts_mqc-generalstats-featurecounts-Assigned	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	STAR_mqc-generalstats-star-uniquely_mapped_percent	featureCounts_mqc-generalstats-featurecounts-percent_assigned
alignment_reduced | hisat | Int-01_S42_L005			65.3									
alignment_reduced | hisat | Int-02_S43_L005			19.54									
alignment_reduced | hisat | Int-03_S44_L005			17.85									
alignment_reduced | hisat | Int-04_S45_L005			15.28									
alignment_reduced | hisat | Liv-01_S38_L005			9.13									
alignment_reduced | hisat | Liv-02_S39_L005			49.33									
alignment_reduced | hisat | Liv-03_S40_L005			1.98									
alignment_reduced | hisat | Liv-04_S41_L005			16.48									
alignment_reduced | star |				5245852.0							4.21	
counting_reduced | counts_reduced | hisat					41955							0.0957939437678248
counting_reduced | logs_reduced |						0.381758						
counting_reduced | logs_reduced | merged						0.448994						
fastq_reduced | qc | Int-01_S42_L005_R1_001	36.36363636363637	151.0					49.0	12421987.0	151	73.15821097531398		
fastq_reduced | qc | Int-01_S42_L005_R2_001	45.45454545454545	151.0					50.0	12421987.0	151	74.4516759037079		
fastq_reduced | qc | Int-02_S43_L005_R1_001	45.45454545454545	151.0					50.0	15738415.0	151	68.19962108276289		
fastq_reduced | qc | Int-02_S43_L005_R2_001	45.45454545454545	151.0					51.0	15738415.0	151	70.49757372103419		
fastq_reduced | qc | Int-03_S44_L005_R1_001	36.36363636363637	151.0					49.0	13521806.0	151	56.984115785930044		
fastq_reduced | qc | Int-03_S44_L005_R2_001	45.45454545454545	151.0					50.0	13521806.0	151	60.480094805253145		
fastq_reduced | qc | Int-04_S45_L005_R1_001	36.36363636363637	151.0					49.0	17961443.0	151	58.44512738901909		
fastq_reduced | qc | Int-04_S45_L005_R2_001	45.45454545454545	151.0					50.0	17961443.0	151	62.028688620825605		
fastq_reduced | qc | Liv-01_S38_L005_R1_001	45.45454545454545	151.0					49.0	20176743.0	151	60.54877132695965		
fastq_reduced | qc | Liv-01_S38_L005_R2_001	54.54545454545454	151.0					50.0	20176743.0	151	64.06773166971985		
fastq_reduced | qc | Liv-02_S39_L005_R1_001	36.36363636363637	151.0					52.0	14755790.0	151	76.03564103010457		
fastq_reduced | qc | Liv-02_S39_L005_R2_001	54.54545454545454	151.0					53.0	14755790.0	151	77.04462386226162		
fastq_reduced | qc | Liv-03_S40_L005_R1_001	45.45454545454545	151.0					48.0	20441278.0	151	58.64546286014226		
fastq_reduced | qc | Liv-03_S40_L005_R2_001	54.54545454545454	151.0					49.0	20441278.0	151	61.94559077039338		
fastq_reduced | qc | Liv-04_S41_L005_R1_001	36.36363636363637	151.0					48.0	13461820.0	151	57.4439038274358		
fastq_reduced | qc | Liv-04_S41_L005_R2_001	45.45454545454545	151.0					49.0	13461820.0	151	60.377076615581636		
trimmed_reduced | qc | Int-01_S42_L005_R1_001	36.36363636363637	133.40066803617972					48.0	12168802.0	141	74.9934871634203		
trimmed_reduced | qc | Int-01_S42_L005_R2_001	18.181818181818183	133.53833491579533					48.0	12168802.0	141	74.79063887834909		
trimmed_reduced | qc | Int-02_S43_L005_R1_001	36.36363636363637	135.46629941349286					48.0	15058640.0	141	70.25897137863676		
trimmed_reduced | qc | Int-02_S43_L005_R2_001	27.27272727272727	135.60721027928153					49.0	15058640.0	141	70.07323530395223		
trimmed_reduced | qc | Int-03_S44_L005_R1_001	27.27272727272727	135.0693586982577					48.0	13203535.0	141	60.98025268960878		
trimmed_reduced | qc | Int-03_S44_L005_R2_001	27.27272727272727	135.22958298667743					48.0	13203535.0	141	60.65701958347072		
trimmed_reduced | qc | Int-04_S45_L005_R1_001	27.27272727272727	131.75306347604192					47.0	17401148.0	141	62.04374445901256		
trimmed_reduced | qc | Int-04_S45_L005_R2_001	27.27272727272727	131.98175706568324					48.0	17401148.0	141	62.07456567008937		
trimmed_reduced | qc | Liv-01_S38_L005_R1_001	27.27272727272727	130.00806175926138					48.0	19736635.0	141	64.72542827388773		
trimmed_reduced | qc | Liv-01_S38_L005_R2_001	36.36363636363637	130.31327194326693					48.0	19736635.0	141	64.67151960147838		
trimmed_reduced | qc | Liv-02_S39_L005_R1_001	36.36363636363637	129.49945006926765					48.0	13632626.0	141	76.21381648575205		
trimmed_reduced | qc | Liv-02_S39_L005_R2_001	18.181818181818183	129.84908828277105					49.0	13632626.0	141	75.83992652159398		
trimmed_reduced | qc | Liv-03_S40_L005_R1_001	27.27272727272727	136.56298017986921					48.0	20186446.0	141	63.355774806427874		
trimmed_reduced | qc | Liv-03_S40_L005_R2_001	36.36363636363637	136.63798015757703					48.0	20186446.0	141	62.564811130007506		
trimmed_reduced | qc | Liv-04_S41_L005_R1_001	27.27272727272727	134.17092668709967					47.0	13116682.0	141	60.73333761116651		
trimmed_reduced | qc | Liv-04_S41_L005_R2_001	27.27272727272727	134.36751489439175					48.0	13116682.0	141	60.55069731170772		
