"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",8,0,8,12,4,0,2,13
"Smp_000040",2,0,4,0,2,1,0,8
"Smp_000050",2,2,1,2,1,3,0,5
"Smp_000100",6,0,2,2,0,4,0,2
"Smp_000190",1,2,0,5,0,8,0,1
"Smp_000240",6,0,4,4,8,6,0,8
"Smp_000260",4,0,0,2,0,2,0,6
"Smp_000310",4,0,0,2,4,20,0,2
"Smp_000320",8,0,2,2,0,4,2,2
"Smp_000340",1,0,4,2,0,4,0,2
"Smp_000370",2,0,0,0,2,5,0,2
"Smp_000480",10,0,5,13,4,0,0,7
"Smp_000590",2,0,2,0,2,10,0,2
"Smp_000600",4,0,0,4,2,4,0,6
"Smp_000640",4,1,1,2,4,8,0,2
"Smp_000660",2,0,2,5,2,4,0,0
"Smp_000710",2,0,2,2,6,4,0,2
"Smp_000740",6,2,2,8,0,16,0,8
"Smp_000820",2,2,0,3,0,4,0,2
"Smp_000880",2,2,0,4,2,6,0,0
"Smp_000980",6,2,0,0,2,8,0,0
"Smp_000990",2,0,0,8,4,2,0,6
"Smp_001090",28,12,18,25,14,13,1,22
"Smp_001170",4,2,4,6,6,0,0,12
"Smp_001360",10,0,0,2,3,4,0,4
"Smp_001500",2,0,4,8,12,11,0,8
"Smp_001610",19,2,3,17,2,7,4,5
"Smp_001830",4,0,0,8,0,9,0,2
"Smp_002010",0,7,4,6,3,7,0,3
"Smp_002080",11,0,4,10,6,12,0,28
"Smp_002180",10,0,4,6,4,21,0,10
"Smp_002230",0,4,4,6,6,2,0,11
"Smp_002380",0,0,4,2,0,1,0,3
"Smp_002410",10,2,2,2,8,2,0,8
"Smp_002550",4,0,2,4,2,18,0,4
"Smp_002630",9,4,12,6,2,9,0,6
"Smp_002820",6,0,3,2,0,2,0,1
"Smp_002880",12,2,2,2,2,2,0,2
"Smp_003250",3,2,4,10,4,3,3,3
"Smp_003270",0,2,2,4,2,2,0,4
"Smp_003280",4,0,0,2,2,2,0,0
"Smp_003410",10,0,2,8,2,6,0,4
"Smp_003600",2,0,0,2,0,4,0,2
"Smp_003660",0,0,10,10,6,6,0,14
"Smp_003700",10,0,3,2,0,4,0,4
"Smp_003710",0,0,2,0,2,6,0,2
"Smp_003770",4,0,4,2,7,6,0,4
"Smp_003930",3,2,1,8,0,6,0,4
"Smp_003970",0,4,0,4,0,10,2,8
"Smp_003980",1,0,4,4,0,4,0,8
"Smp_003990",8,5,8,10,17,20,0,6
"Smp_004080",6,1,0,1,0,2,0,10
"Smp_004220",8,0,7,11,10,8,0,2
"Smp_004310",0,0,6,4,4,10,0,2
"Smp_004550",7,2,3,4,0,4,0,2
"Smp_004600",4,2,10,5,6,12,0,8
"Smp_004630",6,2,0,0,2,0,2,0
"Smp_004680",0,0,4,6,2,6,0,8
"Smp_004780",6,2,2,6,10,4,2,14
"Smp_004820",2,0,2,4,8,8,0,2
"Smp_004910",4,2,6,2,6,2,2,4
"Smp_004940",2,2,0,0,2,5,0,6
"Smp_004990",22,4,8,22,12,12,2,14
"Smp_005020",3,2,0,8,0,0,0,2
"Smp_005180",8,0,2,8,4,20,0,10
"Smp_005190",0,3,3,4,8,0,0,4
"Smp_005230",0,0,0,2,2,2,0,6
"Smp_005260",2,1,0,10,0,4,0,1
"Smp_005290",4,0,2,6,2,2,0,2
"Smp_005330",6,0,0,2,2,2,0,2
"Smp_005670",2,0,7,4,1,10,0,7
"Smp_005880",7,0,6,16,2,14,0,10
"Smp_005900",1,0,2,9,0,2,0,0
"Smp_006000",2,0,5,0,2,2,0,0
"Smp_006190",0,1,1,1,0,5,0,2
"Smp_006340",22,2,9,29,8,4,0,20
"Smp_006350",17,9,9,19,4,17,3,23
"Smp_006390",4,0,0,4,0,2,0,4
"Smp_006550",2,0,4,8,4,10,0,2
"Smp_006630",4,3,5,10,5,5,0,8
"Smp_006690",8,5,4,8,3,3,2,12
"Smp_006700",61,10,19,52,15,22,5,37
