"","Geneid","n"
"1","Smp_000020",2
"2","Smp_000110",2
"3","Smp_000130",3
"4","Smp_000150",2
"5","Smp_000200",2
"6","Smp_000230",2
"7","Smp_000250",1
"8","Smp_000650",2
"9","Smp_000670",2
"10","Smp_000700",1
"11","Smp_000720",1
"12","Smp_000755",1
"13","Smp_000810",2
"14","Smp_000850",1
"15","Smp_000870",3
"16","Smp_000950",3
"17","Smp_001000",2
"18","Smp_001040",3
"19","Smp_001070",2
"20","Smp_001080",1
"21","Smp_001095",2
"22","Smp_001100",1
"23","Smp_001210",1
"24","Smp_001390",1
"25","Smp_001410",1
"26","Smp_001420",1
"27","Smp_001530",1
"28","Smp_001560",1
"29","Smp_001640",2
"30","Smp_001780",1
"31","Smp_001940",3
"32","Smp_001960",2
"33","Smp_002100",1
"34","Smp_002160",1
"35","Smp_002510",2
"36","Smp_002600",2
"37","Smp_002740",2
"38","Smp_002840",2
"39","Smp_002870",1
"40","Smp_003130",2
"41","Smp_003330",1
"42","Smp_003340",1
"43","Smp_003610",2
"44","Smp_003630",1
"45","Smp_003670",1
"46","Smp_003860",3
"47","Smp_004070",1
"48","Smp_004160",1
"49","Smp_004190",2
"50","Smp_004260",1
"51","Smp_004350",1
"52","Smp_004360",2
"53","Smp_004470",1
"54","Smp_004480",3
"55","Smp_004590",1
"56","Smp_004690",2
"57","Smp_004710",2
"58","Smp_004730",3
"59","Smp_004810",3
"60","Smp_005000",3
"61","Smp_005010",2
"62","Smp_005070",2
"63","Smp_005160",3
"64","Smp_005210",2
"65","Smp_005280",2
"66","Smp_005320",1
"67","Smp_005390",2
"68","Smp_005470",1
"69","Smp_005520",2
"70","Smp_005640",3
"71","Smp_005720",2
"72","Smp_005910",1
"73","Smp_005960",3
"74","Smp_006060",1
"75","Smp_006195",1
"76","Smp_006250",1
"77","Smp_006320",2
"78","Smp_006440",3
"79","Smp_006560",2
"80","Smp_006590",2
"81","Smp_006760",2
"82","Smp_006810",1
"83","Smp_006830",2
"84","Smp_006850",3
"85","Smp_006860",2
"86","Smp_006930",1
"87","Smp_007000",3
"88","Smp_007070",1
"89","Smp_007190",2
"90","Smp_007210",2
"91","Smp_007270",1
"92","Smp_007330",1
"93","Smp_007500",2
"94","Smp_007510",2
"95","Smp_007540",1
"96","Smp_007550",3
"97","Smp_007570",1
"98","Smp_007660",1
"99","Smp_007670",1
"100","Smp_007960",3
"101","Smp_007970",1
"102","Smp_008070",3
"103","Smp_008120",2
"104","Smp_008220",2
"105","Smp_008260",2
"106","Smp_008290",1
"107","Smp_008310",3
"108","Smp_008490",1
"109","Smp_008580",2
"110","Smp_008610",1
"111","Smp_008660",3
"112","Smp_008710",3
"113","Smp_008770",2
"114","Smp_008830",2
"115","Smp_009020",1
"116","Smp_009030",3
"117","Smp_009070",2
"118","Smp_009150",2
"119","Smp_009320",3
"120","Smp_009340",3
"121","Smp_009600",3
"122","Smp_009830",2
"123","Smp_009990",1
"124","Smp_010090",3
"125","Smp_010140",3
"126","Smp_010160",3
"127","Smp_010250",3
"128","Smp_010260",3
"129","Smp_010280",2
"130","Smp_010380",2
"131","Smp_010400",3
"132","Smp_010550",1
"133","Smp_010690",3
"134","Smp_010800",1
"135","Smp_010930",3
"136","Smp_011000",1
"137","Smp_011010",1
"138","Smp_011150",3
"139","Smp_011220",1
"140","Smp_011230",2
"141","Smp_011560",2
"142","Smp_011700",2
"143","Smp_011710",2
"144","Smp_011830",2
"145","Smp_011870",1
"146","Smp_011960",2
"147","Smp_011980",2
"148","Smp_011990",2
"149","Smp_012010",2
