"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",3.46546703778732,2.0604473448857,3.95220037054244,3.75817822311355,3.56581686258039,2.0604473448857,3.93831639143635,3.88218486709793
"Smp_000040",2.78346059135368,2.0604473448857,3.44256948564366,2.0604473448857,3.14792642902735,2.5582183689243,2.0604473448857,3.52295806701315
"Smp_000050",2.78346059135368,3.31055131524483,2.77103570872102,2.78654507303244,2.83829009256239,2.91437491910631,2.0604473448857,3.23417300171757
"Smp_000100",3.28847822486605,2.0604473448857,3.05570666156607,2.78654507303244,2.0604473448857,3.04189955491277,2.0604473448857,2.81479645968723
"Smp_000190",2.5743407358608,3.31055131524483,2.0604473448857,3.1914765651734,2.0604473448857,3.42402542799685,2.0604473448857,2.59685475750099
"Smp_000240",3.28847822486605,2.0604473448857,3.44256948564366,3.07701535733754,4.1104043066385,3.25166137690454,2.0604473448857,3.52295806701315
"Smp_000260",3.07277949100801,2.0604473448857,2.0604473448857,2.78654507303244,2.0604473448857,2.76099588703724,2.0604473448857,3.33963659034747
"Smp_000310",3.07277949100801,2.0604473448857,2.0604473448857,2.78654507303244,3.56581686258039,4.11858435696558,2.0604473448857,2.81479645968723
"Smp_000320",3.46546703778732,2.0604473448857,3.05570666156607,2.78654507303244,2.0604473448857,3.04189955491277,3.93831639143635,2.81479645968723
"Smp_000340",2.5743407358608,2.0604473448857,3.44256948564366,2.78654507303244,2.0604473448857,3.04189955491277,2.0604473448857,2.81479645968723
"Smp_000370",2.78346059135368,2.0604473448857,2.0604473448857,2.0604473448857,3.14792642902735,3.15274916158506,2.0604473448857,2.81479645968723
"Smp_000480",3.61745463373218,2.0604473448857,3.59247511380002,3.8201171343575,3.56581686258039,2.0604473448857,2.0604473448857,3.43522695542377
"Smp_000590",2.78346059135368,2.0604473448857,3.05570666156607,2.0604473448857,3.14792642902735,3.57223256803084,2.0604473448857,2.81479645968723
"Smp_000600",3.07277949100801,2.0604473448857,2.0604473448857,3.07701535733754,3.14792642902735,3.04189955491277,2.0604473448857,3.33963659034747
