#Duplication rate	Coverage
1.0	2508611.0
2.0	855703.0
3.0	360717.0
4.0	184507.0
5.0	106437.0
6.0	69471.0
7.0	47161.0
8.0	34220.0
9.0	26047.0
10.0	20581.0
11.0	16545.0
12.0	13566.0
13.0	11334.0
14.0	9613.0
15.0	8157.0
16.0	7098.0
17.0	6198.0
18.0	5541.0
19.0	4915.0
20.0	4447.0
21.0	4101.0
22.0	3732.0
23.0	3440.0
24.0	3057.0
25.0	2834.0
26.0	2657.0
27.0	2531.0
28.0	2263.0
29.0	2102.0
30.0	1907.0
31.0	1868.0
32.0	1736.0
33.0	1611.0
34.0	1561.0
35.0	1412.0
36.0	1399.0
37.0	1271.0
38.0	1211.0
39.0	1165.0
40.0	1106.0
41.0	1037.0
42.0	1016.0
43.0	922.0
44.0	912.0
45.0	839.0
46.0	802.0
47.0	804.0
48.0	727.0
49.0	704.0
50.0	23558.0
