#Coverage (X)	Coverage
1.0	34.13214012928293
2.0	25.564798770324757
3.0	17.54484348771011
4.0	14.505068084992985
5.0	11.74497522215971
6.0	10.345000294671209
7.0	9.139179283003443
8.0	8.360049739189606
9.0	7.701553794343596
10.0	7.2082894088796365
11.0	6.786990318048339
12.0	6.441613013356005
13.0	6.1353653904455
14.0	5.8706076050684715
15.0	5.633763357266204
16.0	5.419438828846268
17.0	5.225262334698584
18.0	5.04645111262829
19.0	4.882406596776121
20.0	4.7310895318671555
21.0	4.589307246392053
22.0	4.458471606370367
23.0	4.334872079942613
24.0	4.218503382819492
25.0	4.108414823319251
26.0	4.003268515472357
27.0	3.9033373207619917
28.0	3.8093413437010355
29.0	3.718152285031451
30.0	3.63203710485746
31.0	3.549282732670136
32.0	3.469760904356775
33.0	3.3944011744419953
34.0	3.321740755573103
35.0	3.252105832516108
36.0	3.1847868693367047
37.0	3.120019737493095
38.0	3.0576891434008218
39.0	2.997318059854223
40.0	2.938845957721483
41.0	2.8818068587654437
42.0	2.82766018760924
43.0	2.7745333842854762
44.0	2.723059602728739
45.0	2.673258538926362
46.0	2.625681200134025
47.0	2.5798438336869935
48.0	2.5353717354358025
49.0	2.4923542579083886
50.0	2.4504008440874543
51.0	2.409493239155452
