#Insert size (bp)	insert size
20.0	1.0
24.0	8.0
30.0	20.0
31.0	29.0
32.0	27.0
33.0	24.0
34.0	18.0
35.0	23.0
36.0	25.0
37.0	21.0
38.0	27.0
39.0	41.0
40.0	37.0
41.0	41.0
42.0	51.0
43.0	51.0
44.0	60.0
45.0	51.0
46.0	64.0
47.0	81.0
48.0	96.0
49.0	92.0
50.0	110.0
51.0	115.0
52.0	138.0
53.0	155.0
54.0	129.0
55.0	179.0
56.0	183.0
57.0	196.0
58.0	238.0
59.0	303.0
60.0	306.0
61.0	337.0
62.0	315.0
63.0	396.0
64.0	490.0
65.0	452.0
66.0	544.0
67.0	578.0
68.0	630.0
69.0	709.0
70.0	824.0
71.0	893.0
72.0	1018.0
73.0	1159.0
74.0	1338.0
75.0	1424.0
76.0	1524.0
77.0	1651.0
78.0	1810.0
79.0	1892.0
80.0	2228.0
81.0	2476.0
82.0	2699.0
83.0	3154.0
84.0	3414.0
85.0	3846.0
86.0	3842.0
87.0	4395.0
88.0	4377.0
89.0	5027.0
90.0	5210.0
91.0	5699.0
92.0	6188.0
93.0	6880.0
94.0	7323.0
95.0	8155.0
96.0	8433.0
97.0	8989.0
98.0	9364.0
99.0	9568.0
100.0	9986.0
101.0	10301.0
102.0	10991.0
103.0	11608.0
104.0	12441.0
105.0	13529.0
106.0	13934.0
107.0	14266.0
108.0	14283.0
109.0	14700.0
110.0	14009.0
111.0	15121.0
112.0	15537.0
113.0	15977.0
114.0	16043.0
115.0	17101.0
116.0	17948.0
117.0	18148.0
118.0	18500.0
119.0	18406.0
120.0	18100.0
121.0	18206.0
122.0	18484.0
123.0	18766.0
124.0	19733.0
125.0	19826.0
126.0	20323.0
127.0	21189.0
128.0	20557.0
129.0	20479.0
130.0	20485.0
131.0	20283.0
132.0	20263.0
133.0	20376.0
134.0	20470.0
135.0	20898.0
136.0	21585.0
137.0	21545.0
138.0	21756.0
139.0	21723.0
140.0	23044.0
141.0	53526.0
142.0	65111.0
143.0	62335.0
144.0	61058.0
145.0	62858.0
146.0	62924.0
147.0	65183.0
148.0	67088.0
149.0	49542.0
150.0	47976.0
151.0	51656.0
152.0	42789.0
153.0	29776.0
154.0	29769.0
155.0	29926.0
156.0	29795.0
157.0	29650.0
158.0	30305.0
159.0	29903.0
160.0	30650.0
161.0	30690.0
162.0	30169.0
163.0	30322.0
164.0	29780.0
165.0	30174.0
166.0	29453.0
167.0	29932.0
168.0	29832.0
169.0	29604.0
170.0	30166.0
171.0	30094.0
172.0	29539.0
173.0	28719.0
174.0	27734.0
175.0	26676.0
176.0	25591.0
177.0	24436.0
178.0	24239.0
179.0	23644.0
180.0	23304.0
181.0	23312.0
182.0	22164.0
183.0	22087.0
184.0	21947.0
185.0	21680.0
186.0	21365.0
187.0	21215.0
188.0	21349.0
189.0	20958.0
190.0	20784.0
191.0	21062.0
192.0	20964.0
193.0	21042.0
194.0	20648.0
195.0	20309.0
196.0	20485.0
197.0	20435.0
198.0	20129.0
199.0	20329.0
200.0	20104.0
201.0	19984.0
202.0	19979.0
203.0	19891.0
204.0	20083.0
205.0	19821.0
206.0	19546.0
207.0	19300.0
208.0	19311.0
209.0	19413.0
210.0	18466.0
211.0	18869.0
212.0	18513.0
213.0	18499.0
214.0	18322.0
215.0	18437.0
216.0	18473.0
217.0	18000.0
218.0	18003.0
