#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.6308123511204226E-6
6.0	1.6308123511204226E-6
7.0	1.0872082340802817E-6
8.0	5.436041170401409E-7
9.0	1.6308123511204226E-6
10.0	5.436041170401409E-7
11.0	5.436041170401409E-7
12.0	2.1744164681605635E-6
13.0	3.2616247022408448E-6
14.0	9.241269989682395E-6
15.0	1.6308123511204225E-5
16.0	4.13139128950507E-5
17.0	7.229934756633873E-5
18.0	1.5655798570756054E-4
19.0	3.1257236729808095E-4
20.0	5.506709705616627E-4
21.0	8.893363354776703E-4
22.0	0.0015492717335644016
23.0	0.0025424364553967385
24.0	0.004035173360788965
25.0	0.006624903374368196
26.0	0.007385949138224393
27.0	0.011250974410379793
28.0	0.01402009378258227
29.0	0.017650282076176332
30.0	0.021807222759182288
31.0	0.025691817779551134
32.0	0.02975525855442619
33.0	0.032609723773003974
34.0	0.03667479536023014
35.0	0.039938050874822106
36.0	0.04394332600917387
37.0	0.04776921178490237
38.0	0.04985393357375131
39.0	0.053436828309162875
40.0	0.05595643339164393
41.0	0.05680391221010951
42.0	0.058014518578757904
43.0	0.05393803130507389
44.0	0.05036927027670537
45.0	0.04707883455626139
46.0	0.04099209925776294
47.0	0.035668584139588844
48.0	0.02826197804491692
49.0	0.024464903287391537
50.0	0.020212288279786515
51.0	0.01577865310120713
52.0	0.010021885501752033
53.0	0.012303935585086545
54.0	0.0108014138055876
55.0	0.007943686962307578
56.0	0.010299667205559549
57.0	0.004244460945849419
58.0	0.002153215907595998
59.0	0.0016346175799397033
60.0	0.0012394173868515211
61.0	8.453044019974189E-4
62.0	6.751563133638548E-4
63.0	3.9520019308818234E-4
64.0	3.2561886610704433E-4
65.0	2.060259603582134E-4
66.0	2.3918581149766198E-4
67.0	3.114851590640007E-4
68.0	1.7504052568692536E-4
69.0	2.9898226437207744E-5
70.0	1.0872082340802817E-6
71.0	0.0
72.0	5.436041170401409E-7
73.0	5.436041170401409E-7
74.0	1.0872082340802817E-6
75.0	2.1744164681605635E-6
76.0	0.0
77.0	0.0
78.0	5.436041170401409E-7
79.0	0.0
80.0	1.0872082340802817E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	5.436041170401409E-7
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.06685352152183E-6
