#Mapping quality	mapping quality
0.0	416717.0
1.0	3689591.0
2.0	25464.0
3.0	23453.0
4.0	22192.0
5.0	23860.0
6.0	25963.0
7.0	22510.0
8.0	26479.0
9.0	32482.0
10.0	43924.0
11.0	17020.0
12.0	65547.0
13.0	15550.0
14.0	24447.0
15.0	98035.0
16.0	15063.0
17.0	34886.0
18.0	18137.0
19.0	15422.0
20.0	192033.0
21.0	11126.0
22.0	16112.0
23.0	22011.0
24.0	54136.0
25.0	13269.0
26.0	25445.0
27.0	17678.0
28.0	12389.0
29.0	7293.0
30.0	380366.0
31.0	6705.0
32.0	10219.0
33.0	15780.0
34.0	22227.0
35.0	9476.0
36.0	51835.0
37.0	18346.0
38.0	11934.0
39.0	7682.0
40.0	185887.0
41.0	10770.0
42.0	14237.0
43.0	29078.0
44.0	9500.0
45.0	93150.0
46.0	22259.0
47.0	12109.0
48.0	70832.0
49.0	19844.0
50.0	56169.0
51.0	44457.0
52.0	44579.0
53.0	51451.0
54.0	66235.0
55.0	85449.0
56.0	110293.0
57.0	167827.0
58.0	262830.0
59.0	423883.0
60.0	6.3707263E7
