#Transcript position	Transcript coverage profile
0.0	4162.074496212578
1.0	4150.967234275295
2.0	4314.349359643609
3.0	4592.214971241305
4.0	5010.298713931197
5.0	5301.759992143044
6.0	5657.0260001089655
7.0	6109.5626267584985
8.0	6366.915996821777
9.0	6590.460690157888
10.0	6932.305997846933
11.0	7275.618212808789
12.0	7722.521314401805
13.0	7891.284736703291
14.0	8024.199362767101
15.0	8184.802680255849
16.0	8382.307733728512
17.0	8728.92865659353
18.0	9097.089355522685
19.0	9290.447850436534
20.0	9469.745922966258
21.0	9572.485224129707
22.0	9653.514779113095
23.0	9585.073394059487
24.0	9636.3418765648
25.0	9674.270586150136
26.0	9701.57209480091
27.0	9676.764036739833
28.0	9624.415190374084
29.0	9642.783094496739
30.0	9614.153602884415
31.0	9469.950114502637
32.0	9581.046680240024
33.0	9499.701924908597
34.0	9541.592150507036
35.0	9446.018265882369
36.0	9416.448253263625
37.0	9332.951250284272
38.0	9295.8350018963
39.0	9221.864134937246
40.0	9093.740831053246
41.0	8943.619481363896
42.0	9001.601737369758
43.0	9054.859647009162
44.0	9148.951849118894
45.0	9065.041757989533
46.0	8989.535402395988
47.0	8963.123451632855
48.0	9004.28386009259
49.0	8926.592665537986
50.0	8795.51904567154
51.0	8828.563059889128
52.0	8771.997558774254
53.0	8858.297509592128
54.0	8757.959696617818
55.0	8603.121164728196
56.0	8527.70661146632
57.0	8653.546785412917
58.0	8707.221445091802
59.0	8932.23294495887
60.0	8805.838281914208
61.0	8660.5399004032
62.0	8618.223498159303
63.0	8515.1913563684
64.0	8433.24174563375
65.0	8331.628499391583
66.0	8140.583581758368
67.0	8003.155642634904
68.0	7891.926874041133
69.0	7796.251462271532
70.0	7620.0787371202505
71.0	7558.337814461104
72.0	7456.472424606716
73.0	7422.31573878705
74.0	7270.243854324224
75.0	7135.566369641263
76.0	7021.195885963944
77.0	6831.975089093152
78.0	6749.419910451086
79.0	6670.343385959455
80.0	6604.4083691972
81.0	6450.052483604693
82.0	6181.274099136524
83.0	6003.167781314582
84.0	5893.897212432556
85.0	5611.764094313015
86.0	5360.0962547565505
87.0	5067.312994737479
88.0	4679.138057147433
89.0	4275.829962445279
90.0	3824.441539995753
91.0	3316.844320427153
92.0	2998.816535863485
93.0	2646.5438959089024
94.0	2093.54384057723
95.0	1624.27514696494
96.0	1223.9230391576764
97.0	878.3511169793893
98.0	439.19739263920724
99.0	108.23653926037547
