#Transcript position	Transcript coverage profile
0.0	6526.404121802
1.0	6544.198892536591
2.0	6807.227752286623
3.0	7239.650750621664
4.0	7848.616233509752
5.0	8319.06782933549
6.0	8838.338033647979
7.0	9430.829097285648
8.0	9783.957467499158
9.0	10086.897698852163
10.0	10469.869769344454
11.0	10835.713964336466
12.0	11320.654646802564
13.0	11523.32744364835
14.0	11721.177191397352
15.0	11916.904535049125
16.0	12156.405044397241
17.0	12550.003883424313
18.0	12980.51946009773
19.0	13173.757045742233
20.0	13378.93789357806
21.0	13550.43335782311
22.0	13670.827885855073
23.0	13618.579081684278
24.0	13662.864911987697
25.0	13700.394051356594
26.0	13728.751069904096
27.0	13721.526231640808
28.0	13688.286026993195
29.0	13692.966666365273
30.0	13675.926971198107
31.0	13575.303368548577
32.0	13695.981793811681
33.0	13600.85783054443
34.0	13632.380517137395
35.0	13549.16315816801
36.0	13552.296620938985
37.0	13490.193582080128
38.0	13467.287469787743
39.0	13402.927308819113
40.0	13264.149115667038
41.0	13124.416774749849
42.0	13194.299748773888
43.0	13275.69793691709
44.0	13397.827109394795
45.0	13347.499662171713
46.0	13277.130371917861
47.0	13247.410704902837
48.0	13283.36453992377
49.0	13197.69458645641
50.0	13075.998993530442
51.0	13133.538691934027
52.0	13089.47268567015
53.0	13194.56015529509
54.0	13118.466312075318
55.0	12970.621760529113
56.0	12908.632616255556
57.0	13057.39280392563
58.0	13102.568702586197
59.0	13321.89526642253
60.0	13186.451932679589
61.0	13035.8002059319
62.0	12985.453902781526
63.0	12890.43201626275
64.0	12795.520705622648
65.0	12695.477536520882
66.0	12518.32488624535
67.0	12399.715733671776
68.0	12316.96090147505
69.0	12244.63575681392
70.0	12065.648304717268
71.0	11994.24236074218
72.0	11891.7726359012
73.0	11838.6010517187
74.0	11703.504784454683
75.0	11576.475784790286
76.0	11464.54296780635
77.0	11277.243019979176
78.0	11180.751065926484
79.0	11101.789956188995
80.0	11021.582760107858
81.0	10854.714499794423
82.0	10574.343381626428
83.0	10386.317035556174
84.0	10256.721867378212
85.0	9978.571002309642
86.0	9692.447534009942
87.0	9368.476361250721
88.0	8925.204639062893
89.0	8471.679767206368
90.0	7915.126478188518
91.0	7294.163660725772
92.0	6876.323687160949
93.0	6316.307282493653
94.0	5518.131825318973
95.0	4710.505976852572
96.0	3876.745615355262
97.0	2943.9849029192064
98.0	1784.8150205626207
99.0	568.7206379047568
