#Position (bp)	insert size
489278.5	82468.8843247328
1467834.5	43982.64406779661
2446390.5	2841.1912043390184
3424946.5	11083.085173501577
4403502.5	4816.161581137309
5382058.5	8631.253773921313
6360614.5	1622.745356632597
7339170.5	3272.8352651914297
8317726.5	7350.84721352536
9296282.5	8721.188943317005
1.02748385E7	2727.3583485568142
1.12533945E7	1323.4364052815952
1.22319505E7	1676.659944031651
1.32105065E7	2488.9690148305085
1.41890625E7	2901.2017511177346
1.51676185E7	2335.4103266314874
1.61461745E7	3879.0710360268677
1.71247305E7	1190.8986236224794
1.81032865E7	1954.2881610924662
1.90818425E7	3046.661388988845
2.00603985E7	1582.3780549639996
2.10389545E7	998.4857509814375
2.20175105E7	2753.420380933965
2.29960665E7	2011.8964186782746
2.39746225E7	1147.6355631021956
2.49531785E7	1580.882439692405
2.59317345E7	1559.5361674296926
2.69102905E7	5769.737882352942
2.78888465E7	2852.0557673975213
2.88674025E7	2143.494832826748
2.98459585E7	2121.787176724138
3.08245145E7	2255.326200721014
3.18030705E7	2930.362599049128
3.27816265E7	1556.1269721446365
3.37601825E7	2152.7278855587556
3.47387385E7	7932.629969214296
3.57172945E7	8900.157509157509
3.66958505E7	3303.6419613307785
3.76744065E7	3230.1841372051267
3.86529625E7	2402.8303697431556
3.96315185E7	3075.558536055604
4.06100745E7	3471.0653975258797
4.15886305E7	2312.583779648049
4.25671865E7	3493.4713158625063
4.35457425E7	2801.520815036009
4.45242985E7	4134.604373383494
4.55028545E7	1632.8864790776424
4.64814105E7	2584.814731080438
4.74599665E7	1534.3192022449389
4.84385225E7	2333.921889358574
4.94170785E7	1116.3369620592573
5.03956345E7	1337.6364261168385
5.13741905E7	1202.5487000169196
5.23527465E7	2699.7116137877006
5.33313025E7	2164.4280927835052
5.43098585E7	1793.4490459670426
5.52884145E7	2537.0339366515836
5.62669705E7	2450.260453165148
5.72455265E7	3041.499510196812
5.82240825E7	2411.693972179289
5.92026385E7	3608.3130081300815
6.01811945E7	1833.7079159300727
6.11597505E7	2109.418702921183
6.21383065E7	8734.729024178789
6.31168625E7	4859.931027783175
6.40954185E7	4640.281639591991
6.50739745E7	20832.73072406799
6.60525305E7	3524.1601216627237
6.70310865E7	5281.888749286122
6.80096425E7	3320.823590096286
6.89881985E7	1334.5310619171855
