Sample	total_deduplicated_percentage	%GC	Sequences flagged as poor quality	median_sequence_length	per_base_n_content	per_sequence_gc_content	per_sequence_quality_scores	per_tile_sequence_quality	Encoding	adapter_content	overrepresented_sequences	Filename	Total Bases	basic_statistics	per_base_sequence_quality	Sequence length	File type	Total Sequences	per_base_sequence_content	avg_sequence_length	sequence_duplication_levels	sequence_length_distribution
fastq_reduced | qc | Int-01_S42_L005_R1_001	26.841789024686026	49.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	warn	Int-01_S42_L005_R1_001.fastq.gz	1.8 Gbp	pass	pass	151.0	Conventional base calls	12421987.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-01_S42_L005_R2_001	25.548324096292102	50.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Int-01_S42_L005_R2_001.fastq.gz	1.8 Gbp	pass	pass	151.0	Conventional base calls	12421987.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-02_S43_L005_R1_001	31.800378917237104	50.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Int-02_S43_L005_R1_001.fastq.gz	2.3 Gbp	pass	pass	151.0	Conventional base calls	15738415.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-02_S43_L005_R2_001	29.50242627896581	51.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Int-02_S43_L005_R2_001.fastq.gz	2.3 Gbp	pass	pass	151.0	Conventional base calls	15738415.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-03_S44_L005_R1_001	43.015884214069956	49.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	warn	Int-03_S44_L005_R1_001.fastq.gz	2 Gbp	pass	pass	151.0	Conventional base calls	13521806.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-03_S44_L005_R2_001	39.519905194746855	50.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Int-03_S44_L005_R2_001.fastq.gz	2 Gbp	pass	pass	151.0	Conventional base calls	13521806.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-04_S45_L005_R1_001	41.55487261098091	49.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	warn	Int-04_S45_L005_R1_001.fastq.gz	2.7 Gbp	pass	pass	151.0	Conventional base calls	17961443.0	warn	151.0	fail	pass
fastq_reduced | qc | Int-04_S45_L005_R2_001	37.971311379174395	50.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Int-04_S45_L005_R2_001.fastq.gz	2.7 Gbp	pass	pass	151.0	Conventional base calls	17961443.0	warn	151.0	fail	pass
fastq_reduced | qc | Liv-01_S38_L005_R1_001	39.45122867304035	49.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Liv-01_S38_L005_R1_001.fastq.gz	3 Gbp	pass	pass	151.0	Conventional base calls	20176743.0	warn	151.0	fail	pass
fastq_reduced | qc | Liv-01_S38_L005_R2_001	35.932268330280145	50.0	0.0	151	pass	fail	pass	fail	Sanger / Illumina 1.9	fail	fail	Liv-01_S38_L005_R2_001.fastq.gz	3 Gbp	pass	pass	151.0	Conventional base calls	20176743.0	fail	151.0	fail	pass
fastq_reduced | qc | Liv-02_S39_L005_R1_001	23.96435896989543	52.0	0.0	151	pass	warn	pass	fail	Sanger / Illumina 1.9	fail	fail	Liv-02_S39_L005_R1_001.fastq.gz	2.2 Gbp	pass	pass	151.0	Conventional base calls	14755790.0	warn	151.0	fail	pass
