Module	Section	Sample Name	Source
QualiMap	genome_results	qualimap_reduced | star | bam |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/bam/genome_results.txt
QualiMap	genome_results	qualimap_reduced | hisat | bam | merged	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/bam/genome_results.txt
QualiMap	coverage_histogram	qualimap_reduced | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/bam/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	qualimap_reduced | hisat | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/bam/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	qualimap_reduced | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/bam/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	qualimap_reduced | hisat | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/bam/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	qualimap_reduced | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/bam/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	qualimap_reduced | hisat | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/bam/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	rna_genome_results	qualimap_reduced | star | rnaseq |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	qualimap_reduced | hisat | rnaseq | merged	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/rnaseq/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	qualimap_reduced | star | rnaseq | raw_data_qualimapReport | rnaseq	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/star/rnaseq/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	qualimap_reduced | hisat | rnaseq | raw_data_qualimapReport | rnaseq	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/qualimap_reduced/hisat/rnaseq/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
featureCounts	all_sections	counting_reduced | counts | star	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/counting_reduced/counts/star_counts.tsv.summary
featureCounts	all_sections	counting_reduced | counts | hisat	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/counting_reduced/counts/hisat_counts.tsv.summary
STAR	SummaryLog	alignment_reduced | star |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/star/Log.final.out
HISAT2	all_sections	alignment_reduced | hisat | Int-02_S43_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Int-02_S43_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Int-03_S44_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Int-03_S44_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Int-04_S45_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Int-04_S45_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Liv-01_S38_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Liv-01_S38_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Liv-02_S39_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Liv-02_S39_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Liv-03_S40_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Liv-03_S40_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Liv-04_S41_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Liv-04_S41_L005.log
HISAT2	all_sections	alignment_reduced | hisat | Int-01_S42_L005	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/alignment_reduced/hisat/Int-01_S42_L005.log
FastQC	all_sections	fastq_reduced | qc | Int-03_S44_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-03_S44_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-03_S44_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-03_S44_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-03_S40_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-03_S40_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-03_S40_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-03_S40_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-01_S38_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-01_S38_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-01_S38_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-01_S38_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-02_S39_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-02_S39_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-02_S39_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-02_S39_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-04_S41_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-04_S41_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Liv-04_S41_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Liv-04_S41_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-01_S42_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-01_S42_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-01_S42_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-01_S42_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-02_S43_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-02_S43_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-02_S43_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-02_S43_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-04_S45_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-04_S45_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq_reduced | qc | Int-04_S45_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/fastq_reduced/qc/Int-04_S45_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-01_S38_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-01_S38_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-01_S38_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-01_S38_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-02_S39_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-02_S39_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-02_S39_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-02_S39_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-03_S40_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-03_S40_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-03_S40_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-03_S40_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Int-01_S42_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Int-01_S42_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Int-01_S42_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Int-01_S42_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-04_S41_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-04_S41_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed_reduced | qc | Liv-04_S41_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline/trimmed_reduced/qc/Liv-04_S41_L005_R1_001_fastqc.zip
