"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"1","Smp_315690",3,0,1,0,5,4,0,1,14
"2","Smp_317470",3,0,2,8,2,3,0,3,21
"3","Smp_349630",0,0,2,4,1,16,0,1,24
"4","Smp_349560",8,0,10,15,7,51,8,31,130
"5","Smp_173350",7,0,7,15,7,11,0,20,67
"6","Smp_350240",0,2,2,12,8,12,0,18,54
"7","Smp_349570",1,0,0,4,2,0,0,4,11
"8","Smp_346460",5,0,0,3,4,4,0,3,19
"9","Smp_099310",4,0,2,5,0,0,1,2,14
"10","Smp_099320",2,0,0,1,4,2,0,2,11
"11","Smp_176700",6,2,6,2,0,11,0,2,29
"12","Smp_087760",8,2,14,22,10,18,0,14,88
"13","Smp_176760",0,2,2,4,4,4,0,4,20
"14","Smp_341680",5,0,1,3,0,2,2,2,15
"15","Smp_345330",14,0,4,2,2,0,0,1,23
"16","Smp_326440",10,8,6,4,4,6,0,1,39
"17","Smp_092930",6,0,0,2,2,2,0,2,14
"18","Smp_160460",5,0,1,8,1,0,0,2,17
"19","Smp_160490",5,2,2,5,3,1,0,3,21
"20","Smp_164200",0,2,2,6,2,2,0,2,16
"21","Smp_164210",2,0,0,0,2,4,0,4,12
"22","Smp_349660",0,0,0,1,3,4,1,2,11
"23","Smp_154980",10,0,6,6,0,2,2,4,30
"24","Smp_200620",6,1,0,0,0,2,0,4,13
"25","Smp_154960",2,0,0,2,0,12,0,2,18
"26","Smp_016050",4,1,4,10,4,2,0,4,29
"27","Smp_172850",6,4,8,8,8,9,0,2,45
"28","Smp_016090",3,0,2,4,0,2,0,0,11
"29","Smp_130950",2,0,0,4,0,0,0,4,10
"30","Smp_171010",13,5,8,10,0,2,0,12,50
"31","Smp_089570",2,2,4,0,4,10,0,0,22
"32","Smp_089630",4,0,0,2,0,2,2,2,12
"33","Smp_089640",6,0,2,4,2,6,0,2,22
"34","Smp_089650",5,0,2,1,0,0,0,4,12
"35","Smp_089670",2,0,0,10,0,2,0,2,16
"36","Smp_171070",6,0,1,4,6,0,0,4,21
"37","Smp_171080",2,0,2,2,0,2,0,2,10
"38","Smp_022640",6,0,2,4,2,4,0,2,20
"39","Smp_151650",6,2,6,2,10,6,0,6,38
"40","Smp_055440",5,2,0,2,1,2,0,2,14
"41","Smp_056200",4,0,2,2,0,0,0,2,10
"42","Smp_163210",6,2,10,2,0,4,0,6,30
"43","Smp_347120",2,0,4,4,0,4,2,2,18
"44","Smp_332680",7,0,2,4,2,2,0,3,20
"45","Smp_340110",41,21,19,43,14,21,6,36,201
"46","Smp_004080",6,1,0,1,0,2,0,10,20
"47","Smp_340100",0,2,4,4,1,0,0,4,15
"48","Smp_213680",0,0,4,5,2,0,0,0,11
"49","Smp_124320",2,2,2,2,0,2,0,1,11
"50","Smp_003990",8,5,8,10,17,20,0,6,74
"51","Smp_003980",1,0,4,4,0,4,0,8,21
"52","Smp_003970",0,4,0,4,0,10,2,8,28
"53","Smp_341700",1,0,0,2,6,2,0,0,11
"54","Smp_003930",3,2,1,8,0,6,0,4,24
"55","Smp_003860",3,0,0,0,6,0,0,6,15
"56","Smp_213690",4,2,0,0,2,2,0,2,12
"57","Smp_213700",6,2,0,2,2,4,0,0,16
"58","Smp_332790",0,4,0,0,2,3,0,4,13
"59","Smp_003770",4,0,4,2,7,6,0,4,27
"60","Smp_332800",6,3,0,4,1,3,0,2,19
"61","Smp_003700",10,0,3,2,0,4,0,4,23
"62","Smp_003660",0,0,10,10,6,6,0,14,46
"63","Smp_003600",2,0,0,2,0,4,0,2,10
"64","Smp_321620",2,0,2,4,3,2,0,2,15
"65","Smp_003410",10,0,2,8,2,6,0,4,32
"66","Smp_341980",2,0,0,6,4,0,0,4,16
"67","Smp_003280",4,0,0,2,2,2,0,0,10
"68","Smp_003250",3,2,4,10,4,3,3,3,32
"69","Smp_245815",4,2,0,2,1,0,2,0,11
"70","Smp_245820",0,1,4,2,0,2,0,2,11
"71","Smp_073800",1,0,2,2,0,5,0,2,12
"72","Smp_162040",4,4,0,0,0,5,0,2,15
"73","Smp_073680",4,0,1,2,2,2,0,0,11
"74","Smp_162000",0,2,1,0,6,6,0,0,15
"75","Smp_073620",2,2,1,4,6,11,0,8,34
"76","Smp_073610",2,0,2,2,0,6,0,0,12
"77","Smp_073590",0,0,2,4,0,2,2,4,14
"78","Smp_345320",5,2,2,4,0,0,0,0,13
"79","Smp_073500",2,0,0,2,4,6,0,4,18
"80","Smp_161960",2,0,2,2,0,4,0,6,16
"81","Smp_073570",2,0,0,0,8,2,0,0,12
"82","Smp_079230",30,10,14,16,18,44,4,14,150
"83","Smp_079430",8,4,4,4,6,8,0,4,38
"84","Smp_079310",2,0,2,0,2,8,0,4,18
"85","Smp_079270",2,1,4,2,4,0,0,1,14
"86","Smp_053390",2,2,4,2,2,6,0,6,24
"87","Smp_150750",2,0,4,4,0,0,0,2,12
"88","Smp_348610",167,41,46,50,33,177,3,23,540
"89","Smp_336340",0,0,2,4,2,4,0,8,20
"90","Smp_166040",10,2,0,0,2,0,0,0,14
"91","Smp_333100",0,2,0,2,3,2,0,2,11
"92","Smp_105330",2,0,0,2,2,1,0,4,11
"93","Smp_105320",0,6,2,8,0,16,0,0,32
"94","Smp_333140",4,0,0,3,4,8,0,8,27
"95","Smp_345870",8,0,0,2,0,2,0,2,14
"96","Smp_103160",2,2,10,8,2,7,0,8,39
"97","Smp_323640",2,0,0,2,4,26,0,4,38
"98","Smp_341790",0,2,2,4,2,16,0,6,32
"99","Smp_337250",8,0,2,6,4,8,2,12,42
"100","Smp_323680",42,19,52,92,6,118,0,19,348
"101","Smp_323710",40,16,58,88,5,112,0,26,345
"102","Smp_346350",6,2,0,8,4,2,0,4,26
"103","Smp_103200",6,0,4,4,1,4,0,0,19
"104","Smp_017660",6,2,0,10,8,12,0,4,42
"105","Smp_131870",4,0,2,14,3,2,0,8,33
"106","Smp_086590",2,0,0,4,8,4,0,8,26
"107","Smp_306640",2,0,2,1,2,2,0,4,13
"108","Smp_159730",2,2,2,3,4,0,0,0,13
