"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",3.46544311201372,2.06040370149847,3.95218184182325,3.75815765567087,3.56579412569495,2.06040370149847,3.93829772186516,3.88216562014946
"Smp_000040",2.78342766080311,2.06040370149847,3.44254528323487,2.06040370149847,3.1478984975768,2.55818218088669,2.06040370149847,3.52293482707317
"Smp_000050",2.78342766080311,3.31052548005683,2.77100260137248,2.7865121863144,2.83825793766861,2.91434382767921,2.06040370149847,3.23414619331538
"Smp_000100",3.28845211052852,2.06040370149847,3.05567750229862,2.7865121863144,2.06040370149847,3.0418702095104,2.06040370149847,2.8147639733554
"Smp_000190",2.57430478434181,3.31052548005683,2.06040370149847,3.19144920393476,2.06040370149847,3.42400100011022,2.06040370149847,2.59681913548594
"Smp_000240",3.28845211052852,2.06040370149847,3.44254528323487,3.07698648417421,4.11038732799454,3.25163479313908,2.06040370149847,3.52293482707317
"Smp_000260",3.07275056108419,2.06040370149847,2.06040370149847,2.7865121863144,2.06040370149847,2.76096263655954,2.06040370149847,3.3396111203339
"Smp_000310",3.07275056108419,2.06040370149847,2.06040370149847,2.7865121863144,3.56579412569495,4.11856745573051,2.06040370149847,2.8147639733554
"Smp_000320",3.46544311201372,2.06040370149847,3.05567750229862,2.7865121863144,2.06040370149847,3.0418702095104,3.93829772186516,2.8147639733554
"Smp_000340",2.57430478434181,2.06040370149847,3.44254528323487,2.7865121863144,2.06040370149847,3.0418702095104,2.06040370149847,2.8147639733554
"Smp_000370",2.78342766080311,2.06040370149847,2.06040370149847,2.06040370149847,3.1478984975768,3.15272129358932,2.06040370149847,2.8147639733554
"Smp_000480",3.61743249349752,2.06040370149847,3.59245268623422,3.82009723419372,3.56579412569495,2.06040370149847,2.06040370149847,3.43520266389042
"Smp_000590",2.78342766080311,2.06040370149847,3.05567750229862,2.06040370149847,3.1478984975768,3.57220990583968,2.06040370149847,2.8147639733554
"Smp_000600",3.07275056108419,2.06040370149847,2.06040370149847,3.07698648417421,3.1478984975768,3.0418702095104,2.06040370149847,3.3396111203339
"Smp_000640",3.07275056108419,2.95775416035347,2.77100260137248,2.7865121863144,3.56579412569495,3.42400100011022,2.06040370149847,2.8147639733554
"Smp_000660",2.78342766080311,2.06040370149847,3.05567750229862,3.19144920393476,3.1478984975768,3.0418702095104,2.06040370149847,2.06040370149847
"Smp_000710",2.78342766080311,2.06040370149847,3.05567750229862,2.7865121863144,3.86827932471198,3.0418702095104,2.06040370149847,2.8147639733554
"Smp_000740",3.28845211052852,3.31052548005683,3.05567750229862,3.47111857918159,2.06040370149847,3.92820265106869,2.06040370149847,3.52293482707317
"Smp_000820",2.78342766080311,3.31052548005683,2.06040370149847,2.94518604347423,2.06040370149847,3.0418702095104,2.06040370149847,2.8147639733554
"Smp_000880",2.78342766080311,3.31052548005683,2.06040370149847,3.07698648417421,3.1478984975768,3.25163479313908,2.06040370149847,2.06040370149847
"Smp_000980",3.28845211052852,3.31052548005683,2.06040370149847,2.06040370149847,3.1478984975768,3.42400100011022,2.06040370149847,2.06040370149847
"Smp_000990",2.78342766080311,2.06040370149847,2.06040370149847,3.47111857918159,3.56579412569495,2.76096263655954,2.06040370149847,3.3396111203339
"Smp_001090",4.49483349035739,4.79237902933139,4.71508941064243,4.3924503599909,4.64603565321926,3.76346381044806,3.4318036902969,4.34472127472403
"Smp_001170",3.07275056108419,3.31052548005683,3.44254528323487,3.29349809912778,3.86827932471198,2.06040370149847,2.06040370149847,3.81850128055588
"Smp_001360",3.61743249349752,2.06040370149847,2.06040370149847,2.7865121863144,3.37781348755652,3.0418702095104,2.06040370149847,3.11573782778652
"Smp_001500",2.78342766080311,2.06040370149847,3.44254528323487,3.47111857918159,4.49019560802219,3.6395307080946,2.06040370149847,3.52293482707317
