#Duplication rate	Coverage
1.0	2508601.0
2.0	855701.0
3.0	360731.0
4.0	184514.0
5.0	106441.0
6.0	69466.0
7.0	47155.0
8.0	34228.0
9.0	26043.0
10.0	20581.0
11.0	16543.0
12.0	13569.0
13.0	11336.0
14.0	9615.0
15.0	8147.0
16.0	7106.0
17.0	6205.0
18.0	5530.0
19.0	4923.0
20.0	4438.0
21.0	4106.0
22.0	3726.0
23.0	3449.0
24.0	3055.0
25.0	2836.0
26.0	2654.0
27.0	2534.0
28.0	2259.0
29.0	2102.0
30.0	1911.0
31.0	1867.0
32.0	1737.0
33.0	1606.0
34.0	1565.0
35.0	1409.0
36.0	1400.0
37.0	1271.0
38.0	1212.0
39.0	1165.0
40.0	1108.0
41.0	1035.0
42.0	1014.0
43.0	919.0
44.0	913.0
45.0	838.0
46.0	806.0
47.0	801.0
48.0	728.0
49.0	703.0
50.0	23563.0
