#Coverage (X)	Coverage
1.0	34.132130521484214
2.0	25.564765623419206
3.0	17.544827154452292
4.0	14.505030134188075
5.0	11.744968977090522
6.0	10.344994049602022
7.0	9.139161028185868
8.0	8.360056945038593
9.0	7.701558117852969
10.0	7.208297095118553
11.0	6.786991278828154
12.0	6.441613974135819
13.0	6.1353649100555145
14.0	5.870597997269712
15.0	5.633772484674921
16.0	5.4194047211608165
17.0	5.225250324950153
18.0	5.046425171571741
19.0	4.882413322235166
20.0	4.73107271821938
21.0	4.589284668065062
22.0	4.458493223917415
23.0	4.334880726961401
24.0	4.218498098530162
25.0	4.108424431117911
26.0	4.003264191962884
27.0	3.9033406834914928
28.0	3.809346147600337
29.0	3.7181590104904956
30.0	3.6320303793983157
31.0	3.5492663994122893
32.0	3.469743129929114
33.0	3.3943737922156174
34.0	3.3217042459379513
35.0	3.2520765287299724
36.0	3.1847897516762345
37.0	3.1200072473546925
38.0	3.057665604293902
39.0	2.997297403086918
40.0	2.9388325068031946
41.0	2.881804456815658
42.0	2.8276755600870587
43.0	2.7745550018324536
44.0	2.723095631973763
45.0	2.6732710290645656
46.0	2.6256888863728847
47.0	2.579843833686894
48.0	2.5353678923162164
49.0	2.4923398462102284
50.0	2.450389314728909
51.0	2.4094889156459374
