#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.6306262039456805E-6
6.0	1.6306262039456805E-6
7.0	1.087084135963787E-6
8.0	5.435420679818935E-7
9.0	1.6306262039456805E-6
10.0	5.435420679818935E-7
11.0	0.0
12.0	2.7177103399094675E-6
13.0	3.261252407891361E-6
14.0	1.1414383427619763E-5
15.0	1.5219177903493018E-5
16.0	4.076565509864201E-5
17.0	7.446526331351941E-5
18.0	1.5762719971474913E-4
19.0	3.1416731529353446E-4
20.0	5.478904045257487E-4
21.0	8.859735708104864E-4
22.0	0.001557791566836107
23.0	0.002532362494727642
24.0	0.0040260160975418855
25.0	0.006643171154874702
26.0	0.0073617337687467655
27.0	0.011283933331304109
28.0	0.014010340344301288
29.0	0.017622720928108952
30.0	0.021831910702560735
31.0	0.025669861244580885
32.0	0.029754036343396836
33.0	0.03259458719067021
34.0	0.03667169624260239
35.0	0.039937840529105595
36.0	0.04395624703769573
37.0	0.04776919464458872
38.0	0.04985096076495936
39.0	0.05341822735712454
40.0	0.055926130458792994
41.0	0.05679905901997192
42.0	0.05804974931839825
43.0	0.05394057128445514
44.0	0.0503151456910159
45.0	0.04706258995621226
46.0	0.041032534254021126
47.0	0.03561015858383375
48.0	0.0283261513308084
49.0	0.024429498245446202
50.0	0.02024368077991764
51.0	0.01578500519626217
52.0	0.010061507220412831
53.0	0.01232046805494558
54.0	0.010808877563887934
55.0	0.007892230827097094
56.0	0.010343062011627453
57.0	0.004257565018502172
58.0	0.002157862009888117
59.0	0.001603449100546586
60.0	0.0012599305135820294
61.0	8.435772895078988E-4
62.0	6.783405008414031E-4
63.0	4.03308214442565E-4
64.0	3.2177690424528094E-4
65.0	2.0708952790110142E-4
66.0	2.3263600509625042E-4
67.0	3.1960273597335343E-4
68.0	1.761076300261335E-4
69.0	2.7177103399094673E-5
70.0	2.7177103399094675E-6
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	2.7177103399094675E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	5.435420679818935E-7
87.0	0.0
88.0	0.0
89.0	5.435420679818935E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.435420679818935E-6
