#Mapping quality	mapping quality
0.0	416717.0
1.0	3689573.0
2.0	25438.0
3.0	23408.0
4.0	22224.0
5.0	23819.0
6.0	25998.0
7.0	22522.0
8.0	26444.0
9.0	32495.0
10.0	43972.0
11.0	16998.0
12.0	65563.0
13.0	15540.0
14.0	24475.0
15.0	98014.0
16.0	15072.0
17.0	34875.0
18.0	18144.0
19.0	15426.0
20.0	192081.0
21.0	11130.0
22.0	16113.0
23.0	22020.0
24.0	54130.0
25.0	13279.0
26.0	25430.0
27.0	17671.0
28.0	12381.0
29.0	7306.0
30.0	380376.0
31.0	6701.0
32.0	10217.0
33.0	15763.0
34.0	22248.0
35.0	9483.0
36.0	51831.0
37.0	18347.0
38.0	11915.0
39.0	7704.0
40.0	185843.0
41.0	10776.0
42.0	14224.0
43.0	29081.0
44.0	9505.0
45.0	93178.0
46.0	22265.0
47.0	12079.0
48.0	70844.0
49.0	19861.0
50.0	56198.0
51.0	44441.0
52.0	44531.0
53.0	51443.0
54.0	66227.0
55.0	85456.0
56.0	110287.0
57.0	167814.0
58.0	262870.0
59.0	423952.0
60.0	6.3707168E7
