#Transcript position	Transcript coverage profile
0.0	4162.0982304931
1.0	4150.98491976635
2.0	4314.358046931866
3.0	4592.207623934074
4.0	5010.2930911121
5.0	5301.727144904974
6.0	5656.980538879537
7.0	6109.524806337409
8.0	6366.874260475931
9.0	6590.418953812042
10.0	6932.264675555726
11.0	7275.589256015659
12.0	7722.515801613534
13.0	7891.276037428837
14.0	8024.188430048521
15.0	8184.796303935329
16.0	8382.30318389201
17.0	8728.893740152782
18.0	9097.04365708707
19.0	9290.380365543839
20.0	9469.690810822663
21.0	9572.440943792843
22.0	9653.470498776232
23.0	9584.996513395343
24.0	9636.235903988134
25.0	9674.175709761863
26.0	9701.475931782074
27.0	9676.666323952944
28.0	9624.326235067316
29.0	9642.686933285504
30.0	9614.050680573906
31.0	9469.864618615435
32.0	9580.946532301969
33.0	9499.584418345845
34.0	9541.464821800111
35.0	9445.903087919925
36.0	9416.328751620289
37.0	9332.83351960897
38.0	9295.714135158836
39.0	9221.769120128121
40.0	9093.655850712954
41.0	8943.542273698919
42.0	9001.51819214879
43.0	9054.780472905823
44.0	9148.857274680804
45.0	9064.952061746959
46.0	8989.44746996092
47.0	8963.042226513784
48.0	9004.213147923609
49.0	8926.529788881913
50.0	8795.488352529945
51.0	8828.549230288681
52.0	8771.967110472831
53.0	8858.280186303937
54.0	8757.946474365499
55.0	8603.108033120143
56.0	8527.691510202714
57.0	8653.536458390541
58.0	8707.182990756324
59.0	8932.085375528832
60.0	8805.697202372867
61.0	8660.40514968467
62.0	8618.091068485513
63.0	8515.055804187077
64.0	8433.165665719813
65.0	8331.525414713404
66.0	8140.463028925341
67.0	8003.097230673939
68.0	7891.850280186742
69.0	7796.171119691674
70.0	7620.001529985475
71.0	7558.230747116626
72.0	7456.385365058431
73.0	7422.239103556413
74.0	7270.164564321143
75.0	7135.48802206622
76.0	7021.104261095436
77.0	6831.915206114473
78.0	6749.37565387316
79.0	6670.314861764587
80.0	6604.406660168374
81.0	6450.059951791058
82.0	6181.273554851443
83.0	6003.158382294631
84.0	5893.849231654128
85.0	5611.708952961018
86.0	5360.051022148811
87.0	5067.275981307824
88.0	4679.103444783785
89.0	4275.82997311604
90.0	3824.4460720399106
91.0	3316.8437891801714
92.0	2998.8213437068553
93.0	2646.5555439208283
94.0	2093.55398256506
95.0	1624.2852889527696
96.0	1223.933181145506
97.0	878.361258967219
98.0	439.2014494343391
99.0	108.23653926037547
