#Transcript position	Transcript coverage profile
0.0	6526.428241211394
1.0	6544.224417060261
2.0	6807.254221750723
3.0	7239.669768655048
4.0	7848.641222102579
5.0	8319.05752819869
6.0	8838.320424298867
7.0	9430.823154350091
8.0	9783.94613392444
9.0	10086.884993299802
10.0	10469.857103630766
11.0	10835.696281233877
12.0	11320.660407704834
13.0	11523.320222567554
14.0	11721.144962180966
15.0	11916.899356852395
16.0	12156.392836001758
17.0	12549.961527944792
18.0	12980.487423870803
19.0	13173.717476449876
20.0	13378.867084036157
21.0	13550.361823114154
22.0	13670.79881664077
23.0	13618.561009507674
24.0	13662.819917039425
25.0	13700.34911155178
26.0	13728.717708095419
27.0	13721.494568038986
28.0	13688.232670233461
29.0	13692.868765138066
30.0	13675.798591881156
31.0	13575.172575107877
32.0	13695.85395223211
33.0	13600.69818100231
34.0	13632.205748685667
35.0	13548.994980664731
36.0	13552.124065633545
37.0	13490.031005054523
38.0	13467.130701359882
39.0	13402.797605388829
40.0	13264.05810892592
41.0	13124.33401801952
42.0	13194.237938945358
43.0	13275.646366176852
44.0	13397.760138319807
45.0	13347.451426391044
46.0	13277.09947190414
47.0	13247.429509166803
48.0	13283.376551842372
49.0	13197.675197929608
50.0	13075.97197358887
51.0	13133.522280646974
52.0	13089.442739384973
53.0	13194.554002383054
54.0	13118.464298477356
55.0	12970.609143703081
56.0	12908.606109730543
57.0	13057.366962052807
58.0	13102.520066656216
59.0	13321.736291731086
60.0	13186.299447876843
61.0	13035.660233695759
62.0	12985.310067846332
63.0	12890.285973733107
64.0	12795.425254005739
65.0	12695.361617098219
66.0	12518.197859654332
67.0	12399.636706488938
68.0	12316.878908276316
69.0	12244.55472052583
70.0	12065.570403874264
71.0	11994.141882799635
72.0	11891.674415655954
73.0	11838.490539800956
74.0	11703.396591528657
75.0	11576.373590489098
76.0	11464.458936085404
77.0	11277.217219419517
78.0	11180.770013157222
79.0	11101.841659373094
80.0	11021.647484780766
81.0	10854.790943060649
82.0	10574.415918265242
83.0	10386.344706642172
84.0	10256.727578101218
85.0	9978.575392183497
86.0	9692.454563964679
87.0	9368.50693427243
88.0	8925.243138758493
89.0	8471.752889936373
90.0	7915.222209265074
91.0	7294.218964161434
92.0	6876.338762861462
93.0	6316.319905260104
94.0	5518.141967306803
95.0	4710.516118840402
96.0	3876.755757343092
97.0	2943.9944151841137
98.0	1784.8038392560074
99.0	568.7168595672254
