#Position (bp)	insert size
489278.5	81486.74608355091
1467834.5	44185.850615530304
2446390.5	2829.14659823661
3424946.5	11092.157707509881
4403502.5	4735.351076139783
5382058.5	8386.638627024413
6360614.5	1620.8267972058743
7339170.5	3231.184523809524
8317726.5	7383.328085642317
9296282.5	8618.309271054493
1.02748385E7	2720.854884951849
1.12533945E7	1311.473705694265
1.22319505E7	1636.2297559085625
1.32105065E7	2404.6971683272154
1.41890625E7	2906.001117179742
1.51676185E7	2328.413576535044
1.61461745E7	3857.5758873929008
1.71247305E7	1191.1315705054765
1.81032865E7	1930.9349820039474
1.90818425E7	3066.1768325791854
2.00603985E7	1579.5399166073425
2.10389545E7	995.3091258545605
2.20175105E7	2778.876314520019
2.29960665E7	1979.6440779014308
2.39746225E7	1144.399406175772
2.49531785E7	1581.8920400632578
2.59317345E7	1593.916175507531
2.69102905E7	5761.238781835332
2.78888465E7	2825.703868103995
2.88674025E7	2162.8807906741004
2.98459585E7	2124.6930478384606
3.08245145E7	2187.2990534065675
3.18030705E7	2935.591009813232
3.27816265E7	1561.0197040616035
3.37601825E7	2147.623785255294
3.47387385E7	7807.916677820907
3.57172945E7	8925.687622468975
3.66958505E7	3284.691691342972
3.76744065E7	3143.041941096061
3.86529625E7	2425.89348778076
3.96315185E7	3084.6770220187486
4.06100745E7	3474.546235852158
4.15886305E7	2299.2907601740467
4.25671865E7	3494.5311185202827
4.35457425E7	2807.2586126357587
4.45242985E7	4067.5344104762353
4.55028545E7	1614.9562434162547
4.64814105E7	2555.323438245112
4.74599665E7	1524.545943255351
4.84385225E7	2319.5428832951943
4.94170785E7	1110.4293400769418
5.03956345E7	1326.0961670874456
5.13741905E7	1217.625219013169
5.23527465E7	2654.801754385965
5.33313025E7	2166.5754002410054
5.43098585E7	1831.4758536057172
5.52884145E7	2544.7553702299724
5.62669705E7	2434.9291695743195
5.72455265E7	3063.419770773639
5.82240825E7	2433.7798800184587
5.92026385E7	3600.075801366264
6.01811945E7	1763.2028004207205
6.11597505E7	2102.4563133640554
6.21383065E7	8744.783996922484
6.31168625E7	4874.4507110851355
6.40954185E7	4508.816531114054
6.50739745E7	20701.109060972085
6.60525305E7	3538.479530974651
6.70310865E7	5290.846655231561
6.80096425E7	3365.438945024833
6.89881985E7	1334.5310719834283
6.99667545E7	2864.70800029332
7.09453105E7	618.5888010705474
7.19238665E7	3045.780624694973
7.29024225E7	2159.795719035744
7.38809785E7	1604.9241359733162
7.48595345E7	3702.5359286723165
7.58380905E7	4210.200890309326
7.68166465E7	4468.080714214596
7.77952025E7	4385.119498688429
7.87737585E7	3895.077191000659
7.97523145E7	2998.8194543297745
8.07308705E7	4500.441001855287
8.17094265E7	7582.866015971606
8.26879825E7	3158.2427528451794
8.36665385E7	3206.202315661182
8.46450945E7	5324.926397042836
8.56236505E7	2066.9190067300997
8.66022065E7	5045.964113680154
8.75377665E7	3279.5107338176476
8.80270445E7	4065.044359949303
8.85593185E7	5187.000974658869
8.95378745E7	21719.796662629524
9.05164305E7	2040.9316568047336
9.14949865E7	3304.775074041463
9.24735425E7	1364.3475284565789
9.34520985E7	3246.4936078366263
9.44306545E7	1356.9461190067157
9.54092105E7	7576.348046106269
9.63877665E7	4704.878678244091
9.73663225E7	2412.77784249767
9.83448785E7	3906.5639636330243
9.93234345E7	3499.16796875
1.003019905E8	4820.519137703475
1.012805465E8	1842.4399042298483
1.022591025E8	1472.2810962382944
1.032376585E8	3608.647199916571
1.042162145E8	3860.163888888889
1.051947705E8	4927.077525158405
1.061733265E8	1133.0454001436208
1.071518825E8	2059.8358018114013
1.081304385E8	1466.741096396349
1.091089945E8	1860.0581665891111
1.100875505E8	860.2158491051886
1.110661065E8	2270.661452065784
1.120446625E8	1617.431490521058
1.130232185E8	3915.0751667521804
1.140017745E8	1360.9250930398289
1.149803305E8	1519.2409257175013
1.159588865E8	3327.801037599615
1.169374425E8	1112.8328634317654
1.179159985E8	12439.461121990555
1.188945545E8	3052.4827720839435
1.198731105E8	8652.961590790163
1.208516665E8	2159.1561931703372
1.218302225E8	2471.8580553985303
1.228087785E8	2582.502095668951
