"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",16,0,14,12,14,0,6,12
"Smp_000040",0,0,2,2,0,2,0,4
"Smp_000050",9,2,6,10,16,4,6,9
"Smp_000070",6,0,2,4,0,2,0,0
"Smp_000080",3,1,0,2,1,2,0,3
"Smp_000100",0,0,4,8,6,2,2,8
"Smp_000150",0,0,2,4,2,2,0,0
"Smp_000190",8,2,5,4,4,6,1,4
"Smp_000240",8,0,2,4,10,6,0,0
"Smp_000260",8,0,0,4,4,0,4,2
"Smp_000310",2,0,0,4,16,4,0,9
"Smp_000320",4,0,3,2,4,2,4,2
"Smp_000340",6,0,4,6,4,4,0,4
"Smp_000370",3,0,4,6,7,11,0,2
"Smp_000480",17,0,7,8,12,0,2,8
"Smp_000590",0,0,2,0,2,4,0,2
"Smp_000600",4,0,4,10,2,2,0,4
"Smp_000640",10,0,0,2,4,4,2,2
"Smp_000660",6,0,4,10,8,4,2,5
"Smp_000670",5,0,0,2,4,2,0,2
"Smp_000710",4,0,2,0,10,2,2,0
"Smp_000720",4,0,0,2,6,2,0,0
"Smp_000740",10,2,6,8,6,12,2,2
"Smp_000810",0,4,2,0,4,0,0,2
"Smp_000820",2,2,0,2,4,2,0,6
"Smp_000870",0,0,0,2,4,2,0,4
"Smp_000880",4,2,0,4,2,4,2,0
"Smp_000950",4,0,0,2,0,3,2,2
"Smp_000990",2,0,2,15,4,2,2,0
"Smp_001040",3,2,0,2,4,0,0,0
"Smp_001070",3,3,0,0,5,2,0,0
"Smp_001090",28,1,18,26,17,7,2,15
"Smp_001170",26,0,4,16,6,8,4,18
"Smp_001180",8,0,2,5,7,2,2,2
"Smp_001360",10,1,2,2,2,4,0,2
"Smp_001500",4,0,6,12,8,4,0,4
"Smp_001610",30,2,12,20,10,21,5,15
"Smp_001830",11,0,4,4,5,4,0,4
"Smp_001940",6,5,0,3,2,0,0,6
"Smp_001950",2,8,4,2,1,2,0,2
"Smp_002010",2,4,6,17,4,4,0,11
"Smp_002080",10,0,10,14,14,8,8,18
"Smp_002180",10,0,4,4,10,2,3,4
"Smp_002230",4,0,6,6,6,0,2,12
"Smp_002380",4,0,5,1,4,2,0,0
"Smp_002410",12,0,2,8,10,2,0,4
"Smp_002510",2,0,2,9,4,2,0,2
"Smp_002550",6,2,4,20,4,10,2,2
"Smp_002630",17,3,9,11,0,17,0,5
"Smp_002820",18,0,2,4,4,1,0,9
"Smp_002880",10,0,0,6,6,6,2,8
"Smp_003250",6,4,10,30,7,3,12,7
"Smp_003270",7,0,4,8,0,0,0,2
"Smp_003330",4,0,2,6,0,4,2,0
"Smp_003410",16,0,6,8,4,14,2,0
"Smp_003600",0,0,1,3,2,2,0,2
"Smp_003630",2,0,0,2,2,2,2,4
"Smp_003660",10,2,12,9,22,8,4,8
"Smp_003700",6,0,2,2,0,8,0,4
"Smp_003710",13,0,10,6,0,14,0,5
"Smp_003770",4,6,8,6,7,10,0,6
"Smp_003930",7,0,4,9,4,6,0,6
"Smp_003970",14,2,7,5,6,12,0,10
"Smp_003980",8,0,4,5,2,4,0,6
"Smp_003990",6,4,10,30,6,24,2,14
"Smp_004070",0,2,2,6,2,0,0,0
"Smp_004080",14,1,2,2,4,5,0,10
"Smp_004170",10,19,2,6,6,4,0,2
"Smp_004190",1,2,2,4,2,5,0,0
"Smp_004220",12,0,8,8,8,4,4,6
"Smp_004310",4,0,2,6,4,4,0,6
"Smp_004470",2,0,0,4,6,4,4,0
"Smp_004480",6,0,2,4,2,2,0,2
"Smp_004550",6,2,6,0,5,4,0,0
"Smp_004600",12,2,2,2,10,10,0,10
"Smp_004680",2,0,2,12,4,6,0,4
"Smp_004730",2,0,0,4,2,1,1,0
"Smp_004780",8,0,6,12,16,8,2,6
"Smp_004820",2,0,8,4,4,6,0,0
"Smp_004910",7,0,2,6,8,2,2,4
"Smp_004940",2,0,4,4,0,8,0,6
"Smp_004990",32,0,10,22,14,12,8,16
"Smp_005010",8,0,2,0,5,5,0,6
"Smp_005020",15,0,2,14,3,8,0,10
"Smp_005080",2,0,0,10,8,2,0,0
"Smp_005160",6,0,2,2,2,1,0,3
"Smp_005180",14,0,4,12,10,14,0,11
"Smp_005190",6,0,1,9,4,0,2,6
"Smp_005230",4,0,0,6,0,0,2,12
"Smp_005260",2,1,0,14,4,2,2,6
"Smp_005290",4,0,2,4,0,4,1,2
"Smp_005320",2,0,0,2,4,0,6,0
"Smp_005330",8,2,5,7,4,0,2,6
"Smp_005500",2,2,0,2,8,0,4,0
"Smp_005670",17,0,2,4,7,10,0,3
"Smp_005720",0,0,2,4,0,5,2,2
"Smp_005880",6,2,6,20,8,16,0,13
"Smp_005900",9,0,2,5,5,2,0,2
"Smp_005960",2,0,2,0,6,2,0,0
"Smp_006000",4,0,1,4,2,0,2,0
"Smp_006320",8,2,0,4,6,0,2,2
"Smp_006340",60,7,37,38,25,14,4,39
"Smp_006350",59,16,29,40,18,17,9,43
"Smp_006390",6,0,4,6,2,0,0,2
"Smp_006550",8,2,6,10,6,8,4,4
"Smp_006630",9,5,11,15,11,4,0,11
"Smp_006690",47,3,20,30,15,7,4,34
"Smp_006700",137,11,54,129,62,23,27,81
"Smp_006710",36,12,27,28,16,43,7,36
"Smp_006810",4,0,0,2,10,2,0,2
"Smp_007170",1,1,4,4,0,4,0,2
"Smp_007180",2,4,0,0,4,0,0,2
"Smp_007260",4,0,4,10,8,4,2,8
"Smp_007300",6,2,0,2,0,2,0,4
"Smp_007380",0,0,0,2,0,4,2,6
"Smp_007450",0,0,4,4,6,6,0,0
"Smp_007500",0,0,0,2,6,3,0,4
"Smp_007510",0,0,2,6,0,4,2,6
"Smp_007630",2,2,2,0,3,2,4,2
"Smp_007650",2,2,0,4,0,2,0,4
"Smp_007710",4,0,4,6,3,2,0,10
"Smp_007890",4,0,0,2,0,4,0,4
"Smp_007900",10,2,12,18,20,20,4,12
"Smp_008070",4,0,0,2,6,4,0,2
"Smp_008140",11,0,8,11,4,5,1,1
"Smp_008220",2,0,0,4,0,4,0,2
"Smp_008260",0,0,2,2,6,2,0,2
"Smp_008310",2,0,4,0,2,2,2,0
"Smp_008320",6,0,2,8,6,8,2,2
"Smp_008360",16,1,13,8,22,45,7,15
"Smp_008400",34,7,10,21,12,14,15,13
"Smp_008430",79,10,43,61,32,51,9,26
"Smp_008440",174,20,73,146,83,154,22,84
"Smp_008470",3,0,0,1,2,0,0,4
"Smp_008500",6,0,0,2,4,4,0,8
"Smp_008545",40,6,22,40,46,26,7,38
"Smp_008660",0,0,4,4,8,0,2,0
"Smp_008710",7,1,2,4,0,8,2,4
"Smp_008900",10,4,4,8,10,8,6,14
"Smp_009030",5,0,0,2,8,0,0,6
"Smp_009230",97,54,57,133,58,385,4,81
"Smp_009250",8,2,12,8,16,0,8,9
"Smp_009310",68,10,40,78,66,46,12,65
"Smp_009320",2,0,4,2,2,0,0,4
"Smp_009340",4,2,0,0,0,2,0,2
"Smp_009390",0,0,2,2,2,2,0,2
"Smp_009400",4,0,10,5,2,6,2,4
"Smp_009420",0,1,2,6,2,2,0,3
"Smp_009520",4,0,1,0,2,2,0,2
"Smp_009540",1,2,2,6,8,9,0,4
"Smp_009600",10,0,4,8,6,0,0,3
"Smp_009650",10,0,15,20,21,8,2,14
"Smp_009690",48,4,20,25,38,41,2,31
"Smp_009760",23,2,14,22,19,25,4,19
"Smp_009810",5,0,2,4,6,4,0,6
"Smp_009830",4,0,0,4,0,2,0,2
"Smp_010090",0,0,2,0,2,2,2,4
"Smp_010110",17,0,8,15,10,5,2,2
"Smp_010140",2,0,0,2,4,2,0,0
"Smp_010160",19,0,0,1,10,13,3,7
"Smp_010230",2,0,2,0,4,2,0,7
"Smp_010250",2,0,10,0,2,2,0,2
"Smp_010260",2,0,2,2,2,2,0,2
"Smp_010290",4,0,10,6,2,0,0,2
"Smp_010380",4,1,2,1,0,4,0,1
"Smp_010400",2,2,0,3,4,4,0,0
"Smp_010620",6,0,0,10,2,2,0,4
"Smp_010690",0,0,4,8,4,2,0,0
"Smp_010710",2,0,0,4,2,2,2,6
"Smp_010820",3,0,2,8,4,4,2,6
"Smp_010930",8,0,0,4,4,0,0,9
"Smp_010940",10,2,8,13,6,9,1,12
"Smp_011030",2,0,0,6,6,4,0,6
"Smp_011120",10,0,4,4,16,8,0,12
"Smp_011150",2,0,0,0,8,2,0,2
"Smp_011220",3,0,1,4,0,2,0,0
"Smp_011270",9,2,4,6,4,6,0,6
"Smp_011560",4,2,0,2,2,0,0,0
"Smp_011570",8,8,8,24,22,18,2,22
"Smp_011640",5,0,0,6,0,2,0,2
"Smp_011660",2,2,2,0,4,4,0,4
"Smp_011710",9,2,6,8,1,6,0,2
"Smp_011720",4,2,5,2,0,0,0,2
"Smp_011860",8,2,2,0,2,0,0,3
"Smp_011980",2,0,2,0,0,2,4,0
"Smp_012070",6,0,0,4,6,10,0,4
"Smp_012110",4,0,2,10,4,6,0,2
"Smp_012150",13,0,6,5,4,2,3,4
"Smp_012200",1,0,0,2,6,2,2,2
"Smp_012280",6,0,4,0,2,2,0,2
"Smp_012340",8,2,0,6,21,8,0,9
"Smp_012350",4,0,1,0,2,6,0,10
"Smp_012440",2,0,0,2,2,2,2,0
"Smp_012470",6,2,2,10,12,10,0,10
"Smp_012530",2,0,4,4,2,0,0,2
"Smp_012540",3,0,0,2,1,0,0,6
"Smp_012570",8,0,1,4,3,2,0,4
"Smp_012580",4,0,0,3,2,0,0,2
"Smp_012690",12,2,1,10,5,3,1,14
"Smp_012720",12,0,4,5,0,1,2,5
"Smp_012740",10,0,5,5,9,4,7,7
"Smp_012750",9,2,4,4,2,8,2,6
"Smp_012860",8,0,0,4,5,14,4,13
"Smp_012900",2,0,2,8,2,2,0,0
"Smp_012930",4,0,0,4,4,2,0,4
"Smp_012980",4,0,0,4,4,4,2,2
"Smp_013040",6,2,4,4,9,7,0,4
"Smp_013070",3,0,0,2,2,2,0,2
"Smp_013200",10,4,6,25,10,26,2,24
"Smp_013210",2,0,3,8,1,9,0,11
"Smp_013300",2,0,2,4,6,8,2,4
"Smp_013360",15,5,0,5,8,0,0,0
"Smp_013370",43,3,16,25,17,26,3,35
"Smp_013470",32,8,14,24,22,36,2,28
"Smp_013520",2,0,2,0,2,0,0,4
"Smp_013790",16,2,0,2,12,4,0,4
"Smp_013810",12,4,7,11,5,0,0,8
"Smp_013815",5,3,4,8,4,0,0,5
"Smp_013840",0,0,0,4,8,4,0,10
"Smp_013870",0,0,4,2,4,0,4,0
"Smp_013930",99,27,81,131,51,46,23,58
"Smp_014010",0,2,2,2,2,4,0,6
"Smp_014050",4,0,1,2,8,6,3,1
"Smp_014170",0,0,4,12,10,2,0,4
"Smp_014280",5,5,2,2,4,0,0,8
"Smp_014290",4,0,6,2,8,2,0,14
"Smp_014400",2,0,4,3,8,2,2,3
"Smp_014650",2,2,0,2,6,6,0,0
"Smp_014660",2,0,4,2,0,0,0,2
"Smp_014670",10,0,4,4,4,6,0,0
"Smp_014780",2,0,4,4,2,2,0,2
"Smp_014800",5,0,8,4,2,3,0,2
"Smp_015050",2,0,6,10,4,2,2,10
"Smp_015090",20,4,20,14,10,6,2,14
"Smp_015220",10,4,2,4,6,2,4,2
"Smp_015530",10,0,2,16,10,8,0,8
"Smp_015690",18,4,18,29,20,14,2,52
"Smp_015720",6,0,2,0,4,2,0,0
"Smp_015730",2,0,2,2,0,4,0,0
"Smp_015800",16,19,8,16,4,12,3,11
"Smp_015840",10,0,0,9,6,0,0,8
"Smp_015860",4,0,2,1,4,0,0,0
"Smp_015900",4,0,0,2,0,0,2,4
"Smp_016050",20,0,6,10,8,8,0,10
"Smp_016180",2,0,2,1,4,0,2,7
"Smp_016380",8,2,1,4,2,0,0,0
"Smp_016410",7,2,4,2,4,5,0,4
"Smp_016540",2,0,1,4,0,3,0,6
"Smp_016550",2,0,2,2,2,2,0,0
"Smp_016630",4,0,0,12,0,2,0,3
"Smp_016730",104,21,40,85,35,61,9,40
"Smp_016900",6,0,0,4,6,4,0,4
"Smp_016990",2,0,0,2,2,2,2,6
"Smp_017010",26,4,2,18,10,2,2,10
"Smp_017070",2,0,0,3,0,4,0,2
"Smp_017280",66,0,31,37,30,51,5,31
"Smp_017360",22,0,8,8,8,8,0,14
"Smp_017430",18,6,4,10,4,16,2,18
"Smp_017470",0,0,4,0,2,4,0,2
"Smp_017660",7,4,7,8,2,7,2,6
"Smp_017710",8,2,2,11,2,0,2,6
"Smp_017730",2,2,2,2,2,0,0,6
"Smp_017750",0,0,2,4,2,4,0,6
"Smp_017830",10,2,0,0,0,2,0,2
"Smp_018220",9,2,5,10,1,2,0,2
"Smp_018240",20,2,9,4,24,6,3,8
"Smp_018250",4,2,2,9,2,0,0,4
"Smp_018310",17,9,16,8,16,18,0,15
"Smp_018360",6,0,2,4,2,6,4,12
"Smp_018460",0,0,0,6,4,4,0,4
"Smp_018530",8,0,8,10,18,12,0,12
"Smp_018610",2,0,6,8,0,0,0,4
"Smp_018620",8,0,2,4,6,6,2,7
"Smp_018760",0,0,2,8,6,0,0,2
"Smp_018990",12,2,8,6,0,6,0,2
"Smp_019010",14,0,0,2,2,2,0,0
"Smp_019100",4,0,2,2,4,2,0,0
"Smp_019130",2,0,0,4,10,2,2,2
"Smp_019190",8,2,2,4,4,6,2,12
"Smp_019260",34,3,7,18,10,4,8,19
"Smp_019340",1,0,4,2,6,0,0,0
"Smp_019430",4,0,2,4,6,4,0,2
"Smp_019440",12,0,2,4,10,4,0,4
"Smp_019630",4,2,2,6,8,0,0,8
"Smp_019680",24,4,2,2,6,0,2,2
"Smp_019690",4,0,4,12,16,8,0,2
"Smp_019730",9,2,8,6,8,10,4,10
"Smp_019750",0,2,4,6,2,4,0,4
"Smp_019790",2,0,0,2,0,2,0,10
"Smp_019820",24,2,3,5,5,5,2,12
"Smp_019840",5,0,0,4,7,1,1,6
"Smp_019880",2,0,2,2,0,2,0,4
"Smp_019950",4,2,0,2,0,4,0,0
"Smp_020040",4,0,2,2,6,2,0,0
"Smp_020060",9,0,6,3,4,2,0,5
"Smp_020070",0,0,2,2,2,0,0,4
"Smp_020130",22,0,10,12,7,5,2,0
"Smp_020370",6,0,2,10,6,0,2,10
"Smp_020400",2,0,2,4,1,2,0,0
"Smp_020550",8,2,8,14,11,10,2,10
"Smp_020590",222,14,96,188,92,64,40,152
"Smp_020760",5,0,2,2,2,0,0,4
"Smp_020770",6,0,4,2,0,2,4,2
"Smp_020920",2,0,2,2,0,2,0,4
"Smp_021040",5,3,3,10,6,9,0,7
"Smp_021060",2,0,2,3,2,0,1,0
"Smp_021070",4,0,2,0,2,2,0,4
"Smp_021080",1,0,2,5,4,4,0,2
"Smp_021130",4,0,0,2,2,4,0,2
"Smp_021140",10,0,2,12,20,10,0,6
"Smp_021160",4,0,2,0,0,2,0,2
"Smp_021170",11,1,11,11,3,8,2,10
"Smp_021220",6,0,4,4,4,10,0,2
"Smp_021340",0,0,2,6,4,6,0,2
"Smp_021370",2,0,2,6,4,8,0,8
"Smp_021390",3,1,0,9,9,1,2,2
"Smp_021460",0,0,2,2,0,2,0,4
"Smp_021540",2,0,0,3,4,3,0,0
"Smp_021730",4,0,12,4,9,10,0,6
"Smp_021760",8,0,2,2,0,4,0,0
"Smp_021910",4,0,0,0,2,2,4,2
"Smp_021920",2,0,0,6,2,0,2,4
"Smp_021960",30,3,11,22,17,12,6,16
"Smp_022020",3,0,3,2,2,0,0,0
"Smp_022090",4,0,0,2,4,4,0,2
"Smp_022110",4,0,2,2,10,2,2,0
"Smp_022140",0,2,2,4,0,2,0,0
"Smp_022170",4,3,4,3,1,7,0,4
"Smp_022330",0,2,0,4,0,6,0,2
"Smp_022400",4,0,4,8,4,2,0,2
"Smp_022470",5,2,5,6,0,2,2,5
"Smp_022500",12,0,3,2,3,3,0,3
"Smp_022540",2,0,0,2,2,2,2,5
"Smp_022640",16,0,2,10,0,10,0,2
"Smp_022660",23,0,16,40,8,12,4,22
"Smp_022700",0,0,0,1,6,2,2,2
"Smp_022850",2,0,0,2,0,0,4,2
"Smp_022960",0,0,0,4,2,0,2,2
"Smp_023010",6,0,3,9,3,5,0,2
"Smp_023150",4,2,2,1,2,4,0,0
"Smp_023170",18,2,22,24,20,40,0,18
"Smp_023270",8,0,6,11,8,0,3,3
"Smp_023360",9,0,6,8,4,10,6,4
"Smp_023470",12,0,10,7,11,4,1,4
"Smp_023660",6,0,2,0,0,1,2,0
"Smp_023840",3,0,7,5,2,5,0,0
"Smp_024030",104,18,56,111,60,68,14,71
"Smp_024110",8,0,2,14,2,4,2,12
"Smp_024120",2,0,0,2,6,2,2,6
"Smp_024140",28,4,18,28,18,22,6,24
"Smp_024150",2,2,6,2,4,0,2,10
"Smp_024240",4,0,2,2,0,2,2,6
"Smp_024360",4,2,4,0,4,0,0,4
"Smp_024380",7,0,0,2,1,2,0,0
"Smp_024500",2,0,1,8,4,5,0,4
"Smp_024580",2,0,0,5,2,4,0,7
"Smp_024850",18,2,10,12,18,24,0,22
"Smp_024860",0,0,1,2,5,4,0,3
"Smp_024880",19,0,6,22,10,16,2,11
"Smp_024900",140,12,59,105,40,44,24,104
"Smp_025030",8,0,0,16,9,4,2,6
"Smp_025100",11,0,0,6,2,2,2,0
"Smp_025130",0,0,0,4,8,6,0,2
"Smp_025150",2,0,2,8,2,4,2,0
"Smp_025260",4,0,2,0,2,1,1,0
