"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"1","Smp_315690",18,0,9,26,18,18,0,30,119
"2","Smp_317470",10,0,8,18,20,14,0,13,83
"3","Smp_349630",15,1,27,39,26,79,1,41,229
"4","Smp_349560",44,4,17,35,36,82,8,73,299
"5","Smp_179970",3,0,1,5,13,30,2,10,64
"6","Smp_173350",16,4,20,41,22,41,1,45,190
"7","Smp_165600",2,0,5,6,4,17,0,7,41
"8","Smp_319340",7,4,5,5,1,6,1,0,29
"9","Smp_350240",20,2,25,34,35,43,0,57,216
"10","Smp_349570",7,0,2,6,1,3,0,10,29
"11","Smp_350510",2,0,1,11,2,2,0,5,23
"12","Smp_099150",2,0,2,0,6,4,0,2,16
"13","Smp_099160",2,0,4,2,10,10,0,6,34
"14","Smp_176600",4,1,0,4,1,3,0,4,17
"15","Smp_346460",10,2,0,9,2,6,6,6,41
"16","Smp_176650",10,0,0,2,0,0,0,6,18
"17","Smp_099310",2,0,2,2,4,1,4,6,21
"18","Smp_099320",6,0,2,6,2,0,0,1,17
"19","Smp_176700",8,2,0,4,0,10,0,4,28
"20","Smp_087760",14,0,10,24,16,22,2,14,102
"21","Smp_306370",1,0,2,2,0,1,3,6,15
"22","Smp_176760",4,0,0,2,2,1,2,2,13
"23","Smp_241980",2,2,0,0,1,7,0,6,18
"24","Smp_341680",13,0,12,14,8,7,6,11,71
"25","Smp_099570",3,0,2,3,5,2,0,2,17
"26","Smp_345330",40,0,4,19,6,0,0,8,77
"27","Smp_326440",12,8,12,20,10,5,5,6,78
"28","Smp_092930",4,0,5,2,5,1,0,2,19
"29","Smp_160460",9,0,4,14,4,12,0,4,47
"30","Smp_244700",4,0,2,6,0,2,0,2,16
"31","Smp_160490",14,6,8,31,13,2,2,7,83
"32","Smp_164190",2,0,2,4,0,4,0,0,12
"33","Smp_164200",4,0,6,0,2,8,0,0,20
"34","Smp_349660",6,0,0,0,2,3,0,3,14
"35","Smp_154980",4,0,4,2,0,0,2,4,16
"36","Smp_200620",9,2,0,6,0,2,0,4,23
"37","Smp_154960",0,2,3,2,6,4,0,2,19
"38","Smp_331210",16,5,4,3,0,9,0,0,37
"39","Smp_103790",4,6,2,0,0,0,0,2,14
"40","Smp_201070",10,0,1,9,0,8,1,0,29
"41","Smp_016050",20,0,6,10,8,8,0,10,62
"42","Smp_172850",87,50,49,45,34,53,3,34,355
"43","Smp_245010",4,0,3,0,0,2,0,2,11
"44","Smp_130940",2,0,0,6,6,2,0,0,16
"45","Smp_016200",0,0,0,6,2,0,0,4,12
"46","Smp_016180",2,0,2,1,4,0,2,7,18
"47","Smp_130980",4,0,1,2,15,2,1,3,28
"48","Smp_130950",2,0,2,8,0,0,0,6,18
"49","Smp_171010",25,5,11,17,5,7,2,22,94
"50","Smp_089570",4,2,2,2,0,6,0,2,18
"51","Smp_089590",2,0,4,0,2,2,0,0,10
"52","Smp_171040",7,0,2,3,1,2,0,5,20
"53","Smp_089630",4,0,2,2,2,2,0,0,12
"54","Smp_089640",13,0,2,8,6,10,2,2,43
"55","Smp_089650",13,0,0,1,2,8,2,8,34
"56","Smp_089670",2,0,1,0,2,2,0,4,11
"57","Smp_171070",9,0,4,3,5,0,0,3,24
"58","Smp_171080",0,0,2,4,0,2,0,2,10
"59","Smp_022640",16,0,2,10,0,10,0,2,40
"60","Smp_151640",6,0,1,2,2,2,0,2,15
"61","Smp_055400",2,0,0,2,4,4,0,0,12
"62","Smp_151650",8,2,4,8,18,14,0,2,56
"63","Smp_151670",2,0,1,2,2,2,0,2,11
"64","Smp_055440",12,2,6,0,5,5,4,7,41
"65","Smp_056200",6,0,2,6,0,0,2,4,20
"66","Smp_056240",4,2,2,4,0,0,0,4,16
"67","Smp_176440",0,0,2,4,0,3,0,2,11
"68","Smp_163210",14,2,8,18,8,4,0,8,62
"69","Smp_159600",2,0,0,10,4,6,2,2,26
"70","Smp_129610",5,2,4,6,2,0,2,4,25
"71","Smp_347120",2,0,12,7,0,10,6,6,43
"72","Smp_129550",3,2,0,5,1,0,1,11,23
"73","Smp_129560",3,0,0,2,0,0,0,6,11
"74","Smp_013690",0,0,0,0,0,6,0,7,13
"75","Smp_332680",2,0,2,8,12,2,2,8,36
"76","Smp_340110",48,32,26,53,22,20,9,48,258
