"","Geneid","n"
"1","Smp_000020",3
"2","Smp_000160",2
"3","Smp_000200",3
"4","Smp_000230",3
"5","Smp_000250",2
"6","Smp_000300",1
"7","Smp_000470",1
"8","Smp_000580",1
"9","Smp_000650",2
"10","Smp_000680",1
"11","Smp_000700",1
"12","Smp_000755",2
"13","Smp_000790",3
"14","Smp_000850",1
"15","Smp_000980",3
"16","Smp_001020",1
"17","Smp_001030",1
"18","Smp_001080",2
"19","Smp_001095",3
"20","Smp_001100",2
"21","Smp_001210",2
"22","Smp_001390",2
"23","Smp_001410",2
"24","Smp_001420",3
"25","Smp_001530",2
"26","Smp_001560",2
"27","Smp_001590",1
"28","Smp_001640",2
"29","Smp_001780",1
"30","Smp_001900",2
"31","Smp_001960",1
"32","Smp_001980",1
"33","Smp_002100",3
"34","Smp_002280",3
"35","Smp_002600",2
"36","Smp_002640",1
"37","Smp_002740",1
"38","Smp_002870",1
"39","Smp_002920",1
"40","Smp_003000",2
"41","Smp_003130",3
"42","Smp_003140",2
"43","Smp_003340",3
"44","Smp_003610",3
"45","Smp_003620",3
"46","Smp_004000",1
"47","Smp_004160",1
"48","Smp_004200",1
"49","Smp_004260",2
"50","Smp_004350",3
"51","Smp_004360",1
"52","Smp_004590",1
"53","Smp_004630",3
"54","Smp_004640",3
"55","Smp_004690",3
"56","Smp_004710",2
"57","Smp_004810",2
"58","Smp_005070",1
"59","Smp_005210",3
"60","Smp_005280",3
"61","Smp_005390",2
"62","Smp_005470",1
"63","Smp_005640",3
"64","Smp_005780",1
"65","Smp_005790",1
"66","Smp_006250",3
"67","Smp_006440",3
"68","Smp_006560",1
"69","Smp_006590",3
"70","Smp_006680",1
"71","Smp_006720",2
"72","Smp_006760",2
"73","Smp_006780",3
"74","Smp_006830",3
"75","Smp_006840",3
"76","Smp_006850",2
"77","Smp_006860",3
"78","Smp_006920",1
"79","Smp_006930",2
"80","Smp_007000",1
"81","Smp_007190",2
"82","Smp_007210",1
"83","Smp_007270",1
"84","Smp_007290",1
"85","Smp_007330",1
"86","Smp_007550",2
"87","Smp_007570",2
"88","Smp_007660",3
"89","Smp_007670",1
"90","Smp_007690",1
"91","Smp_007730",1
"92","Smp_007760",2
"93","Smp_007970",1
"94","Smp_008230",3
"95","Smp_008290",2
"96","Smp_008490",2
"97","Smp_008580",2
"98","Smp_008610",2
"99","Smp_008620",1
"100","Smp_008770",2
"101","Smp_008830",1
"102","Smp_009020",3
"103","Smp_009070",2
"104","Smp_009150",2
"105","Smp_009430",3
"106","Smp_009990",2
"107","Smp_010370",2
"108","Smp_010550",1
"109","Smp_011000",2
"110","Smp_011010",3
"111","Smp_011700",3
"112","Smp_011830",2
"113","Smp_011870",2
"114","Smp_011960",2
"115","Smp_011990",3
"116","Smp_012010",2
"117","Smp_012030",1
"118","Smp_012050",1
"119","Smp_012400",2
"120","Smp_012410",2
"121","Smp_012480",2
"122","Smp_012780",3
"123","Smp_012790",3
"124","Smp_012810",1
"125","Smp_013060",1
"126","Smp_013080",1
"127","Smp_013150",1
"128","Smp_013440",2
"129","Smp_013460",3
"130","Smp_013690",2
"131","Smp_013860",3
"132","Smp_013950",1
"133","Smp_014020",1
"134","Smp_014260",1
"135","Smp_014430",1
"136","Smp_014570",1
"137","Smp_014620",2
"138","Smp_014680",2
"139","Smp_014730",3
"140","Smp_014840",1
"141","Smp_015440",3
"142","Smp_015480",2
"143","Smp_015630",3
"144","Smp_015710",2
"145","Smp_015780",3
"146","Smp_015880",1
"147","Smp_015980",3
"148","Smp_016200",3
"149","Smp_016340",1
"150","Smp_016510",1
"151","Smp_016600",3
"152","Smp_016640",1
"153","Smp_016670",2
"154","Smp_016810",2
"155","Smp_016910",2
"156","Smp_017290",1
