"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",3.57402298831741,1.2081293206545,4.08205417805233,3.39987264766693,4.12762355911673,1.2081293206545,4.28986116056329,3.59645005563154
"Smp_000040",1.2081293206545,1.2081293206545,2.44487903255873,2.17336430922593,1.2081293206545,2.38931531450932,1.2081293206545,2.6846724602887
"Smp_000050",3.05867474197794,3.13357922150312,3.24341273453535,3.23586467550888,4.27728669158447,2.83762009089721,4.28986116056329,3.32562978226081
"Smp_000070",2.75034284411606,1.2081293206545,2.44487903255873,2.54989643131393,1.2081293206545,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_000080",2.32333494217799,2.616371025604,1.2081293206545,2.17336430922593,2.11358351369196,2.38931531450932,1.2081293206545,2.4998201931206
"Smp_000100",1.2081293206545,1.2081293206545,2.9106768950148,3.04764138186029,3.27993694012844,2.38931531450932,3.18671566246399,3.22126508560877
"Smp_000150",1.2081293206545,1.2081293206545,2.44487903255873,2.54989643131393,2.46922023607784,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_000190",2.96445060712134,3.13357922150312,3.08815446029706,2.54989643131393,2.9425531771256,3.15944864792049,2.65770292933763,2.6846724602887
"Smp_000240",2.96445060712134,1.2081293206545,2.44487903255873,2.54989643131393,3.76896903865546,3.15944864792049,1.2081293206545,1.2081293206545
"Smp_000260",2.96445060712134,1.2081293206545,1.2081293206545,2.54989643131393,2.9425531771256,1.2081293206545,3.84714693995738,2.27396689568483
"Smp_000310",2.12597357661805,1.2081293206545,1.2081293206545,2.54989643131393,4.27728669158447,2.83762009089721,1.2081293206545,3.32562978226081
"Smp_000320",2.48597626056559,1.2081293206545,2.7020009300928,2.17336430922593,2.9425531771256,2.38931531450932,3.84714693995738,2.27396689568483
"Smp_000340",2.75034284411606,1.2081293206545,2.9106768950148,2.82531425764473,2.9425531771256,2.83762009089721,1.2081293206545,2.6846724602887
"Smp_000370",2.32333494217799,1.2081293206545,2.9106768950148,2.82531425764473,3.42012437897073,3.72481676740649,1.2081293206545,2.27396689568483
"Smp_000480",3.6335496524281,1.2081293206545,3.38184931298458,3.04764138186029,3.9599181920896,1.2081293206545,3.18671566246399,3.22126508560877
"Smp_000590",1.2081293206545,1.2081293206545,2.44487903255873,1.2081293206545,2.46922023607784,2.83762009089721,1.2081293206545,2.27396689568483
"Smp_000600",2.48597626056559,1.2081293206545,2.9106768950148,3.23586467550888,2.46922023607784,2.38931531450932,1.2081293206545,2.6846724602887
"Smp_000640",3.14622159481781,1.2081293206545,1.2081293206545,2.17336430922593,2.9425531771256,2.83762009089721,3.18671566246399,2.27396689568483
"Smp_000660",2.75034284411606,1.2081293206545,2.9106768950148,3.23586467550888,3.54678038610347,2.83762009089721,3.18671566246399,2.8430538532569
"Smp_000670",2.62618878702311,1.2081293206545,1.2081293206545,2.17336430922593,2.9425531771256,2.38931531450932,1.2081293206545,2.27396689568483
"Smp_000710",2.48597626056559,1.2081293206545,2.44487903255873,1.2081293206545,3.76896903865546,2.38931531450932,3.18671566246399,1.2081293206545
"Smp_000720",2.48597626056559,1.2081293206545,1.2081293206545,2.17336430922593,3.27993694012844,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_000740",3.14622159481781,3.13357922150312,3.24341273453535,3.04764138186029,3.27993694012844,3.81396672289621,3.18671566246399,2.27396689568483
"Smp_000810",1.2081293206545,3.78240430880137,2.44487903255873,1.2081293206545,2.9425531771256,1.2081293206545,1.2081293206545,2.27396689568483
"Smp_000820",2.12597357661805,3.13357922150312,1.2081293206545,2.17336430922593,2.9425531771256,2.38931531450932,1.2081293206545,2.98251429468298
"Smp_000870",1.2081293206545,1.2081293206545,1.2081293206545,2.17336430922593,2.9425531771256,2.38931531450932,1.2081293206545,2.6846724602887
"Smp_000880",2.48597626056559,3.13357922150312,1.2081293206545,2.54989643131393,2.46922023607784,2.83762009089721,3.18671566246399,1.2081293206545
"Smp_000950",2.48597626056559,1.2081293206545,1.2081293206545,2.17336430922593,1.2081293206545,2.63647129811394,3.18671566246399,2.27396689568483
"Smp_000990",2.12597357661805,1.2081293206545,2.44487903255873,3.61289171624763,2.9425531771256,2.38931531450932,3.18671566246399,1.2081293206545
"Smp_001040",2.32333494217799,3.13357922150312,1.2081293206545,2.17336430922593,2.9425531771256,1.2081293206545,1.2081293206545,1.2081293206545
"Smp_001070",2.32333494217799,3.49741484471175,1.2081293206545,1.2081293206545,3.12258745962396,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_001090",4.15876593404006,2.616371025604,4.36466022083468,4.1923762970337,4.34651975992176,3.29374945544558,3.18671566246399,3.82158883573773
"Smp_001170",4.07696736304049,1.2081293206545,2.9106768950148,3.67696679946083,3.27993694012844,3.41537650121166,3.84714693995738,4.01482426909712
"Smp_001180",2.96445060712134,1.2081293206545,2.44487903255873,2.69609176933201,3.42012437897073,2.38931531450932,3.18671566246399,2.27396689568483
"Smp_001360",3.14622159481781,2.616371025604,2.44487903255873,2.17336430922593,2.46922023607784,2.83762009089721,1.2081293206545,2.27396689568483
"Smp_001500",2.48597626056559,1.2081293206545,3.24341273453535,3.39987264766693,3.54678038610347,2.83762009089721,1.2081293206545,2.6846724602887
"Smp_001610",4.23603287110691,3.13357922150312,3.9158559431338,3.90673064741667,3.76896903865546,4.43052699331864,4.08606543994117,3.82158883573773
"Smp_001830",3.22807094808144,1.2081293206545,2.9106768950148,2.54989643131393,3.12258745962396,2.83762009089721,1.2081293206545,2.6846724602887
"Smp_001940",2.75034284411606,4.01793744018739,1.2081293206545,2.37998626700311,2.46922023607784,1.2081293206545,1.2081293206545,2.98251429468298
"Smp_001950",2.12597357661805,4.55135368527846,2.9106768950148,2.17336430922593,2.11358351369196,2.38931531450932,1.2081293206545,2.27396689568483
"Smp_002010",2.12597357661805,3.78240430880137,3.24341273453535,3.73814080984255,2.9425531771256,2.83762009089721,1.2081293206545,3.51218699769778
"Smp_002080",3.14622159481781,1.2081293206545,3.72678582667194,3.54560616721365,4.12762355911673,3.41537650121166,4.62573055669296,4.01482426909712
"Smp_002180",3.14622159481781,1.2081293206545,2.9106768950148,2.54989643131393,3.76896903865546,2.38931531450932,3.55748753141062,2.6846724602887
"Smp_002230",2.48597626056559,1.2081293206545,3.24341273453535,2.82531425764473,3.27993694012844,1.2081293206545,3.18671566246399,3.59645005563154
"Smp_002380",2.48597626056559,1.2081293206545,3.08815446029706,1.89689499865851,2.9425531771256,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_002410",3.30498825049411,1.2081293206545,2.44487903255873,3.04764138186029,3.76896903865546,2.38931531450932,1.2081293206545,2.6846724602887
"Smp_002510",2.12597357661805,1.2081293206545,2.44487903255873,3.14527058817959,2.9425531771256,2.38931531450932,1.2081293206545,2.27396689568483
"Smp_002550",2.75034284411606,3.13357922150312,2.9106768950148,3.90673064741667,2.9425531771256,3.62939506912507,3.18671566246399,2.27396689568483
"Smp_002630",3.6335496524281,3.49741484471175,3.62138685012475,3.32046175528025,1.2081293206545,4.18936706756716,1.2081293206545,2.8430538532569
"Smp_002820",3.69055472778322,1.2081293206545,2.44487903255873,2.54989643131393,2.9425531771256,2.05468086130915,1.2081293206545,3.32562978226081
"Smp_002880",3.14622159481781,1.2081293206545,1.2081293206545,2.82531425764473,3.27993694012844,3.15944864792049,3.18671566246399,3.22126508560877
"Smp_003250",2.75034284411606,3.78240430880137,3.72678582667194,4.35473989195789,3.42012437897073,2.63647129811394,5.12485623426004,3.10758991743542
"Smp_003270",2.86225952993763,1.2081293206545,2.9106768950148,3.04764138186029,1.2081293206545,1.2081293206545,1.2081293206545,2.27396689568483
"Smp_003330",2.48597626056559,1.2081293206545,2.44487903255873,2.82531425764473,1.2081293206545,2.83762009089721,3.18671566246399,1.2081293206545
