#Duplication rate	Coverage
1.0	1526123.0
2.0	1159470.0
3.0	902987.0
4.0	716736.0
5.0	554463.0
6.0	441324.0
7.0	349681.0
8.0	287769.0
9.0	233968.0
10.0	196187.0
11.0	163252.0
12.0	139648.0
13.0	117859.0
14.0	102570.0
15.0	87389.0
16.0	77456.0
17.0	67294.0
18.0	59744.0
19.0	52859.0
20.0	47554.0
21.0	42533.0
22.0	38423.0
23.0	35078.0
24.0	31548.0
25.0	28869.0
26.0	26444.0
27.0	24012.0
28.0	22089.0
29.0	20358.0
30.0	18778.0
31.0	17704.0
32.0	16203.0
33.0	15382.0
34.0	13946.0
35.0	13305.0
36.0	12390.0
37.0	11588.0
38.0	10880.0
39.0	10390.0
40.0	9642.0
41.0	9229.0
42.0	8661.0
43.0	8132.0
44.0	7792.0
45.0	7458.0
46.0	6960.0
47.0	6759.0
48.0	6296.0
49.0	6173.0
50.0	242498.0
