#Position (bp)	insert size
489278.5	84146.35602740376
1467834.5	48087.34002846201
2446390.5	3126.9472097304997
3424946.5	2591.7615077355836
4403502.5	4590.170992470599
5382058.5	8076.753569707725
6360614.5	1829.6763181990143
7339170.5	3160.062730238922
8317726.5	8309.505694108666
9296282.5	10470.20467387513
1.02748385E7	2827.9622773491024
1.12533945E7	1290.995385258021
1.22319505E7	1737.9487271187238
1.32105065E7	2342.991934854437
1.41890625E7	2630.4749102400156
1.51676185E7	2402.6913398952215
1.61461745E7	3901.049748136208
1.71247305E7	1238.3112165955408
1.81032865E7	1949.3262515262516
1.90818425E7	2592.4517018651572
2.00603985E7	1760.7541400623181
2.10389545E7	1025.8124076737558
2.20175105E7	3023.0006657283066
2.29960665E7	2021.692689046723
2.39746225E7	1123.363238881665
2.49531785E7	1623.41642018085
2.59317345E7	1696.4882181386465
2.69102905E7	5351.893167961866
2.78888465E7	2526.504439076672
2.88674025E7	2294.385495798658
2.98459585E7	1984.7057277493861
3.08245145E7	2537.2020549146123
3.18030705E7	3002.622262009066
3.27816265E7	1720.0614218602261
3.37601825E7	2249.5276269523883
3.47387385E7	7056.863025338387
3.57172945E7	8594.057991236445
3.66958505E7	2686.2288102211032
3.76744065E7	3234.4021253038577
3.86529625E7	2284.847687207433
3.96315185E7	3075.3984307753426
4.06100745E7	3448.530627889258
4.15886305E7	2559.2217678677057
4.25671865E7	3575.860400160286
4.35457425E7	2776.5786432308505
4.45242985E7	5259.220569933305
4.55028545E7	1729.192080383055
4.64814105E7	2468.0583453177555
4.74599665E7	1609.838004646386
4.84385225E7	2369.187390217381
4.94170785E7	1103.999323777475
5.03956345E7	1451.2344229455425
5.13741905E7	1138.1427825559722
5.23527465E7	2581.0052296833683
5.33313025E7	2468.8932007061962
5.43098585E7	1923.2599223817942
5.52884145E7	2705.079730192607
5.62669705E7	2469.5150496650494
5.72455265E7	3630.086083623072
5.82240825E7	2438.7294877406375
5.92026385E7	3809.2736045662705
6.01811945E7	1798.613692869234
6.11597505E7	2674.5943150767966
6.21383065E7	8813.22059573649
6.31168625E7	4506.010664661017
6.40954185E7	4787.984742932811
6.50739745E7	35034.60912344476
6.60525305E7	4012.4478136466155
6.70310865E7	5545.904825133646
6.80096425E7	3553.8835935500383
6.89881985E7	1396.9872489001168
6.99667545E7	2973.5080742967607
7.09453105E7	625.8845110566751
7.19238665E7	3108.298496708879
7.29024225E7	2499.8164172221523
7.38809785E7	1724.6868233467428
7.48595345E7	3692.1219165788075
7.58380905E7	3528.09742428531
7.68166465E7	4559.452763400559
7.77952025E7	3762.4365539803707
7.87737585E7	4139.103651648982
7.97523145E7	2723.991538030092
8.07308705E7	4237.084415341441
8.17094265E7	7302.931501685293
8.26879825E7	3566.7514553464835
8.36665385E7	3265.3067854831484
8.46450945E7	5961.892478395391
8.56236505E7	2153.4090063352546
8.66022065E7	7014.755171363647
8.75377665E7	3044.3125322539026
8.80270445E7	4292.959704157102
8.85593185E7	4677.089180503482
8.95378745E7	23374.040201005024
9.05164305E7	2087.0963711141867
9.14949865E7	3513.090052986136
9.24735425E7	1612.2421443390751
9.34520985E7	3228.801604066275
9.44306545E7	1446.9841279858636
9.54092105E7	7096.253077178975
9.63877665E7	4617.794773997915
9.73663225E7	2420.9325831096426
9.83448785E7	3727.197473999744
9.93234345E7	3607.89852398524
1.003019905E8	5033.907671650622
1.012805465E8	1807.715083580385
1.022591025E8	1558.2593464509732
1.032376585E8	3612.782921031596
1.042162145E8	3447.192445703494
1.051947705E8	5433.870884466204
1.061733265E8	1189.7154325348404
1.071518825E8	2091.2932489451478
1.081304385E8	1398.7503177114402
1.091089945E8	1866.982035649895
1.100875505E8	890.9766495356479
1.110661065E8	2166.3753435257076
1.120446625E8	1754.7049280894282
1.130232185E8	4280.2524103619835
1.140017745E8	1410.8698291244282
1.149803305E8	1789.2126695563131
1.159588865E8	3304.974253280734
1.169374425E8	1262.4111455657824
1.179159985E8	12655.25942010621
1.188945545E8	3472.039022418158
1.198731105E8	8513.34666989637
1.208516665E8	2296.5768656342407
1.218302225E8	2353.784502097494
1.228087785E8	2773.3192946797417
1.237873345E8	3683.60215444546
1.247658905E8	10274.442819247837
1.257444465E8	2812.282298247431
1.267230025E8	4465.38534166005
1.277015585E8	2693.343641970703
1.286801145E8	1205.707310764615
1.296586705E8	1081.1334346879237
1.306372265E8	1512.8114235964392
1.316157825E8	1512.6702168309325
1.325943385E8	2165.602808896661
1.335728945E8	1855.2017409654445
1.345514505E8	1580.0763143200068
1.355300065E8	5652.392785814941
1.365085625E8	4444.230837755635
1.374871185E8	3759.05661792276
