#GC Content (%)	Sample
1.0	7.220774456943605E-8
2.0	1.444154891388721E-7
3.0	0.0
4.0	0.0
5.0	7.220774456943605E-8
6.0	7.220774456943605E-8
7.0	2.1662323370830813E-7
8.0	3.610387228471802E-7
9.0	1.0109084239721047E-6
10.0	2.0218168479442093E-6
11.0	2.599478804499698E-6
12.0	4.910126630721652E-6
13.0	9.964668750582173E-6
14.0	1.3286225000776233E-5
15.0	3.9136597556634334E-5
16.0	7.545709307506067E-5
17.0	1.3625601400252583E-4
18.0	2.445676308566799E-4
19.0	4.7491033603318093E-4
20.0	8.80140198556856E-4
21.0	0.0012463778790130357
22.0	0.002224576194695186
23.0	0.0033598263548158596
24.0	0.004924712595124677
25.0	0.008206771209039253
26.0	0.008545642154303618
27.0	0.013512740695490555
28.0	0.015687637961921966
29.0	0.01921982420302507
30.0	0.023791801965928054
31.0	0.025660755018618767
32.0	0.031077491185239583
33.0	0.03180057953935792
34.0	0.03595144173593195
35.0	0.03941799113722143
36.0	0.041701344435996136
37.0	0.04797359796027563
38.0	0.0471541122671571
39.0	0.0530294398195384
40.0	0.05577347852866611
41.0	0.054864960686493464
42.0	0.059430150921406924
43.0	0.052056584876954394
44.0	0.049903494349382946
45.0	0.0459293967115149
46.0	0.041452372132720725
47.0	0.03389373763893673
48.0	0.025647035547150573
49.0	0.022841620255138844
50.0	0.020948549815761938
51.0	0.015609725805531546
52.0	0.007463970140653467
53.0	0.007083002080305122
54.0	0.008237603915970403
55.0	0.010210608328585674
56.0	0.010909868126996092
57.0	0.007906025952907552
58.0	0.0021317892429234607
59.0	0.0030911413372729886
60.0	0.0034842402987089976
61.0	0.002311008864944801
62.0	6.589678769406734E-4
63.0	3.624106699939996E-4
64.0	3.203135549100183E-4
65.0	2.3178686006788973E-4
66.0	3.042834356156035E-4
67.0	3.1569225925757446E-4
68.0	1.9171156183185272E-4
69.0	5.011217473118863E-5
70.0	3.899218206749546E-6
71.0	5.776619565554884E-7
72.0	8.664929348332326E-7
73.0	5.776619565554884E-7
74.0	7.220774456943605E-8
75.0	1.8051936142359012E-6
76.0	0.0
77.0	1.444154891388721E-7
78.0	7.220774456943605E-8
79.0	0.0
80.0	5.054542119860523E-7
81.0	7.220774456943605E-8
82.0	1.444154891388721E-7
83.0	0.0
84.0	1.444154891388721E-7
85.0	0.0
86.0	2.1662323370830816E-7
87.0	7.220774456943605E-8
88.0	7.220774456943605E-8
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.2493485056246225E-6
