#Mapping quality	mapping quality
0.0	634354.0
1.0	717967.0
2.0	134095.0
3.0	1660367.0
4.0	12476.0
5.0	11193.0
6.0	10216.0
7.0	11411.0
8.0	10154.0
9.0	10462.0
10.0	11574.0
11.0	11225.0
12.0	12857.0
13.0	13731.0
14.0	10905.0
15.0	15571.0
16.0	11998.0
17.0	16477.0
18.0	11773.0
19.0	16563.0
20.0	12586.0
21.0	15102.0
22.0	16627.0
23.0	12086.0
24.0	19066.0
25.0	20932.0
26.0	12481.0
27.0	12853.0
28.0	18863.0
29.0	17906.0
30.0	12294.0
31.0	23515.0
32.0	16129.0
33.0	11534.0
34.0	24385.0
35.0	10784.0
36.0	15486.0
37.0	19470.0
38.0	11185.0
39.0	30243.0
40.0	13508.0
41.0	15688.0
42.0	14285.0
43.0	20180.0
44.0	11045.0
45.0	33606.0
46.0	11973.0
47.0	14891.0
48.0	19214.0
49.0	9896.0
50.0	10305.0
51.0	32002.0
52.0	12330.0
53.0	46716.0
54.0	9506.0
55.0	11931.0
56.0	12590.0
57.0	18213.0
58.0	10280.0
59.0	21084.0
60.0	11293.0
61.0	14462.0
62.0	9331.0
63.0	14629.0
64.0	27633.0
65.0	12065.0
66.0	49863.0
67.0	8490.0
68.0	10501.0
69.0	12044.0
70.0	14845.0
71.0	17571.0
72.0	10583.0
73.0	17397.0
74.0	10122.0
75.0	24921.0
76.0	9556.0
77.0	14953.0
78.0	16423.0
79.0	11493.0
80.0	13548.0
81.0	11539.0
82.0	9575.0
83.0	8372.0
84.0	6264.0
85.0	51781.0
86.0	16547.0
87.0	89653.0
88.0	6314.0
89.0	9294.0
90.0	10000.0
91.0	12320.0
92.0	8265.0
93.0	14547.0
94.0	15497.0
95.0	11370.0
96.0	15021.0
97.0	20673.0
98.0	9929.0
99.0	16426.0
100.0	7035.0
101.0	8814.0
102.0	25467.0
103.0	46039.0
104.0	5576.0
105.0	9177.0
106.0	13335.0
107.0	8591.0
108.0	13558.0
109.0	19720.0
110.0	8700.0
111.0	31175.0
112.0	9190.0
113.0	15588.0
114.0	8274.0
115.0	21092.0
116.0	13194.0
117.0	19092.0
118.0	10095.0
119.0	14465.0
120.0	12879.0
121.0	10161.0
122.0	10505.0
123.0	11382.0
124.0	7785.0
125.0	6451.0
126.0	4557.0
127.0	25624.0
128.0	77557.0
129.0	163419.0
130.0	3911.0
131.0	6690.0
132.0	8049.0
133.0	8879.0
134.0	10536.0
135.0	12488.0
136.0	12912.0
137.0	14917.0
138.0	15655.0
139.0	12882.0
140.0	17140.0
141.0	10735.0
142.0	13830.0
143.0	24858.0
144.0	13209.0
145.0	11046.0
146.0	17161.0
147.0	31289.0
148.0	12464.0
149.0	10948.0
150.0	16258.0
151.0	12599.0
152.0	6985.0
153.0	34544.0
154.0	57295.0
155.0	8285.0
156.0	10712.0
157.0	13103.0
158.0	15301.0
159.0	18718.0
160.0	26557.0
161.0	10115.0
162.0	16216.0
163.0	20568.0
164.0	11466.0
165.0	15943.0
166.0	16496.0
167.0	10939.0
168.0	8581.0
169.0	5087.0
170.0	64885.0
171.0	131427.0
172.0	7157.0
173.0	9659.0
174.0	14348.0
175.0	14222.0
176.0	16318.0
177.0	19837.0
178.0	17074.0
179.0	23271.0
180.0	17218.0
181.0	9917.0
182.0	24874.0
183.0	45227.0
184.0	13942.0
185.0	19594.0
186.0	21416.0
187.0	22643.0
188.0	14876.0
189.0	14657.0
190.0	9135.0
191.0	48937.0
192.0	102043.0
193.0	11283.0
194.0	14382.0
195.0	23205.0
196.0	27001.0
197.0	14441.0
198.0	23516.0
199.0	40853.0
200.0	17175.0
201.0	28404.0
202.0	14992.0
203.0	10769.0
204.0	129975.0
205.0	11008.0
206.0	15740.0
207.0	27396.0
208.0	22101.0
209.0	36053.0
210.0	26806.0
211.0	21664.0
212.0	34561.0
213.0	82594.0
214.0	21712.0
215.0	26197.0
216.0	34171.0
217.0	23633.0
218.0	32771.0
219.0	78391.0
220.0	25431.0
221.0	39485.0
222.0	22969.0
223.0	83943.0
224.0	24233.0
225.0	40420.0
226.0	32974.0
227.0	70957.0
228.0	42144.0
229.0	73428.0
230.0	27525.0
231.0	46785.0
232.0	68954.0
233.0	42497.0
234.0	72802.0
235.0	71981.0
236.0	47045.0
237.0	71083.0
238.0	76536.0
239.0	72170.0
240.0	76374.0
241.0	94909.0
242.0	74113.0
243.0	93685.0
244.0	107374.0
245.0	98460.0
246.0	121151.0
247.0	124086.0
248.0	145058.0
249.0	167186.0
250.0	191340.0
251.0	246535.0
252.0	340418.0
253.0	553301.0
254.0	1185824.0
255.0	9.9156496E7
