#Transcript position	Transcript coverage profile
0.0	26575.555377747558
1.0	26520.721138541878
2.0	27482.56195965306
3.0	29350.792856548876
4.0	32541.82811350005
5.0	34524.83967824176
6.0	36978.125814646475
7.0	39938.29998135983
8.0	41731.45554274774
9.0	43094.56305494888
10.0	45332.9943479022
11.0	47901.15278761735
12.0	51151.59978601607
13.0	52498.58103138295
14.0	53401.10165005611
15.0	54355.007307937405
16.0	55632.616036777275
17.0	58157.82758301516
18.0	61025.812950030944
19.0	62468.405183797964
20.0	64147.36552465299
21.0	65508.272816476165
22.0	66370.99060757934
23.0	66104.65346956911
24.0	66345.54470001132
25.0	66761.76356913816
26.0	67454.36424806806
27.0	67600.91344959762
28.0	67586.45402488514
29.0	67942.81308509699
30.0	67724.70995185526
31.0	66847.36909161857
32.0	67638.32663679431
33.0	67063.73405186512
34.0	67459.79617482582
35.0	66705.42264064557
36.0	66594.20704387501
37.0	66020.17138191145
38.0	65818.64902953041
39.0	65354.92277085285
40.0	64404.05468994039
41.0	63385.583145292316
42.0	63816.129061782376
43.0	64231.37270958071
44.0	64866.03697738373
45.0	64462.88560067776
46.0	63646.782270014584
47.0	63254.26960797654
48.0	63816.029415026496
49.0	63409.74662485089
50.0	62354.42734377346
51.0	62387.103950530014
52.0	62060.14016137667
53.0	62696.79015274269
54.0	62061.0625049206
55.0	60426.161018827646
56.0	59361.81585266873
57.0	59751.742850459166
58.0	59827.95926998801
59.0	61247.37388760825
60.0	60841.3460331251
61.0	59263.75794463384
62.0	58847.87436768741
63.0	58073.68685293728
64.0	57593.924386148334
65.0	56765.179153497724
66.0	55257.157698902236
67.0	54007.924150635234
68.0	53302.416548636
69.0	53032.41463451328
70.0	52205.226828366256
71.0	51768.724592163606
72.0	51181.22864987664
73.0	51065.914111556136
74.0	50053.135175331336
75.0	49173.737073041084
76.0	48231.12925187329
77.0	47053.46131265338
78.0	46297.21192227643
79.0	45447.156494733106
80.0	44669.715807352746
81.0	43381.18077284075
82.0	41058.7385934883
83.0	39254.99837390006
84.0	38303.161722799225
85.0	36173.027963196015
86.0	34260.55379059968
87.0	32368.361555208034
88.0	30104.23418392046
89.0	27982.91849378604
90.0	25172.515359463774
91.0	21647.539901366752
92.0	19639.222636528793
93.0	17531.19698507067
94.0	13820.555788561507
95.0	11028.946691911435
96.0	8526.521446488525
97.0	6144.483123226232
98.0	3031.2244207107706
99.0	751.5195008522508
