#Transcript position	Transcript coverage profile
0.0	1.8407539404567115
1.0	2.3415616804937427
2.0	2.08467087682293
3.0	2.333921523253091
4.0	2.8347448153403008
5.0	2.3857383481704773
6.0	2.0600639549586095
7.0	1.8531387886333601
8.0	1.8561031132526367
9.0	2.197651722110223
10.0	2.3301530240973753
11.0	2.189279433652101
12.0	2.422558010382026
13.0	2.266651594100162
14.0	2.2796145239104555
15.0	2.373283660929606
16.0	1.9306952159781738
17.0	1.9875356515832279
18.0	1.785476361037811
19.0	1.7941631730757828
20.0	2.066043553577976
21.0	2.2230654326444417
22.0	2.1595321723176304
23.0	1.921093200630535
24.0	2.0454848932807956
25.0	2.393631078354547
26.0	2.7253769906537446
27.0	2.5236921094208666
28.0	2.552020803390028
29.0	2.7590247279470006
30.0	2.64904346792838
31.0	2.256226852480878
32.0	2.113142687381985
33.0	2.156075075580742
34.0	2.1380075292701886
35.0	2.3457214404690307
36.0	2.5226242824873033
37.0	2.336570696465998
38.0	2.2444402943070667
39.0	2.4150629076419463
40.0	2.2490952492915595
41.0	2.410212057377735
42.0	2.7321257956650076
43.0	2.5677777834114774
44.0	2.5453639848492684
45.0	2.3447712327303063
46.0	2.1712925550221023
47.0	2.0916509987701617
48.0	2.1577733429549015
49.0	2.29513344141473
50.0	2.484920540591034
51.0	2.5206212351131603
52.0	2.384856163812824
53.0	2.625565327923734
54.0	2.832051177151599
55.0	2.6334623154350396
56.0	2.4470052356551504
57.0	2.4547283406753504
58.0	2.4427571242868056
59.0	2.473114078443437
60.0	2.375149149828945
61.0	2.1216079489640878
62.0	2.322833981106537
63.0	2.4666625101137205
64.0	2.233574358964317
65.0	2.702215509761848
66.0	2.6490599610070613
67.0	2.5580979787676057
68.0	2.6790805429999835
69.0	2.5576995126215682
70.0	2.4647367712568276
71.0	2.683542674968317
72.0	2.7408046877511625
73.0	3.452643080085223
74.0	2.8251893049356904
75.0	2.9052564520242408
76.0	2.845422371569205
77.0	2.9938748669523703
78.0	2.638639640417698
79.0	2.723179477334777
80.0	2.8974992111370113
81.0	3.155086599794882
82.0	3.1761821127377066
83.0	3.320985188307651
84.0	3.173211477167773
85.0	3.1896859255253736
86.0	3.695049337848809
87.0	4.028480046878065
88.0	4.456631108421121
89.0	4.085617687878018
90.0	3.8548118513189147
91.0	3.587256628320161
92.0	3.3936793379021704
93.0	3.0663373395648743
94.0	3.0752104345589717
95.0	3.4804413686773077
96.0	2.9723009053920677
97.0	3.3012254762834963
98.0	2.4529178067195305
99.0	1.1801610531628988
