#Transcript position	Transcript coverage profile
0.0	42833.493070334305
1.0	43031.37623157115
2.0	44629.15061221276
3.0	47457.18419349976
4.0	51894.19809775713
5.0	55160.90104434218
6.0	58943.83398242856
7.0	63199.31554622741
8.0	65892.62953831935
9.0	67920.7205888627
10.0	70534.63833588951
11.0	73380.18973929748
12.0	76994.6574200547
13.0	78728.78507231319
14.0	80183.77933812025
15.0	81488.33276423663
16.0	83127.97519265977
17.0	86000.9487264182
18.0	89234.80855157434
19.0	90823.93412740028
20.0	92767.67999040324
21.0	94539.34938281275
22.0	95755.97913138448
23.0	95664.80342734249
24.0	95886.74688847082
25.0	96322.7455894637
26.0	97080.85042091353
27.0	97349.9322819752
28.0	97517.26017146034
29.0	97751.66380809789
30.0	97636.48530580342
31.0	97155.88010138835
32.0	98085.21875259839
33.0	97429.67819177038
34.0	97870.71051825446
35.0	97294.20091508825
36.0	97443.41959122437
37.0	96998.51339055746
38.0	96950.51687030826
39.0	96466.49702470933
40.0	95480.16080531859
41.0	94534.9082244736
42.0	94929.75571477778
43.0	95405.95764590814
44.0	96240.93591348932
45.0	96013.64162800665
46.0	95284.82227368768
47.0	94742.78138331001
48.0	95203.64827576268
49.0	94784.45077867003
50.0	93793.87909681936
51.0	94024.44288981742
52.0	93800.94825101487
53.0	94668.73789430542
54.0	94410.89055802337
55.0	92882.65567263044
56.0	91798.54929853068
57.0	92313.25197326798
58.0	92365.57221140029
59.0	93692.66475436073
60.0	93549.82216841487
61.0	91991.63869683321
62.0	91510.91122176759
63.0	90806.7374911253
64.0	90388.38636865745
65.0	89502.06569082687
66.0	88025.87010439203
67.0	86795.90726552143
68.0	86117.48086686528
69.0	85820.84124841215
70.0	84764.2034856451
71.0	84172.67311471622
72.0	83599.18059415105
73.0	83424.28330519627
74.0	82608.64795031764
75.0	81799.47644229709
76.0	80854.05449276345
77.0	79662.93067436808
78.0	78856.12118664126
79.0	78034.06461519886
80.0	77250.69442456547
81.0	75908.98107182943
82.0	73516.5717307674
83.0	71764.61761890913
84.0	70727.05320636235
85.0	68647.83227572653
86.0	66537.21938868072
87.0	64341.7741896002
88.0	61626.31742340666
89.0	58993.50633985672
90.0	55485.455174244096
91.0	51035.88954862808
92.0	48106.98648800155
93.0	44552.14632306256
94.0	38986.63694688545
95.0	33827.80283741848
96.0	28452.637096196362
97.0	21618.22496572714
98.0	13095.87323534135
99.0	4088.2267003049083
