Sample	per_sequence_quality_scores	adapter_content	Total Bases	median_sequence_length	Filename	per_base_sequence_content	File type	sequence_length_distribution	per_base_sequence_quality	per_base_n_content	Sequences flagged as poor quality	overrepresented_sequences	Encoding	per_tile_sequence_quality	per_sequence_gc_content	Total Sequences	Sequence length	%GC	sequence_duplication_levels	total_deduplicated_percentage	basic_statistics	avg_sequence_length
fastq | qc | Int-01_S42_L005_R1_001	pass	fail	18.7 Gbp	151	Int-01_S42_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	warn	Sanger / Illumina 1.9	fail	fail	124241212.0	151.0	49.0	fail	8.735636444902081	pass	151.0
fastq | qc | Int-01_S42_L005_R2_001	pass	fail	18.7 Gbp	151	Int-01_S42_L005_R2_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	124241212.0	151.0	50.0	fail	8.329748890654125	pass	151.0
fastq | qc | Int-02_S43_L005_R1_001	pass	fail	23.7 Gbp	151	Int-02_S43_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	157425190.0	151.0	50.0	fail	7.2870115288791055	pass	151.0
fastq | qc | Int-02_S43_L005_R2_001	pass	fail	23.7 Gbp	151	Int-02_S43_L005_R2_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	157425190.0	151.0	51.0	fail	7.034426469949762	pass	151.0
fastq | qc | Int-03_S44_L005_R1_001	pass	fail	20.4 Gbp	151	Int-03_S44_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	warn	Sanger / Illumina 1.9	fail	fail	135259783.0	151.0	49.0	fail	13.790707570401977	pass	151.0
fastq | qc | Int-03_S44_L005_R2_001	pass	fail	20.4 Gbp	151	Int-03_S44_L005_R2_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	135259783.0	151.0	50.0	fail	12.732152640355574	pass	151.0
fastq | qc | Int-04_S45_L005_R1_001	pass	fail	27.1 Gbp	151	Int-04_S45_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	warn	Sanger / Illumina 1.9	fail	fail	179662246.0	151.0	49.0	fail	13.87411725729526	pass	151.0
fastq | qc | Int-04_S45_L005_R2_001	pass	fail	27.1 Gbp	151	Int-04_S45_L005_R2_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	179662246.0	151.0	50.0	fail	12.214192967509288	pass	151.0
fastq | qc | Liv-01_S38_L005_R1_001	pass	fail	30.4 Gbp	151	Liv-01_S38_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	201832955.0	151.0	49.0	fail	14.752105352019345	pass	151.0
fastq | qc | Liv-01_S38_L005_R2_001	pass	fail	30.4 Gbp	151	Liv-01_S38_L005_R2_001.fastq.gz	fail	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	201832955.0	151.0	50.0	fail	12.875464630107672	pass	151.0
fastq | qc | Liv-02_S39_L005_R1_001	pass	fail	22.2 Gbp	151	Liv-02_S39_L005_R1_001.fastq.gz	warn	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	warn	147599477.0	151.0	52.0	fail	5.689627917349967	pass	151.0
fastq | qc | Liv-02_S39_L005_R2_001	pass	fail	22.2 Gbp	151	Liv-02_S39_L005_R2_001.fastq.gz	fail	Conventional base calls	pass	pass	pass	0.0	fail	Sanger / Illumina 1.9	fail	fail	147599477.0	151.0	53.0	fail	5.813752530343906	pass	151.0
fastq | qc | Liv-03_S40_L005_R1_001	pass	fail	30.8 Gbp	151	Liv-03_S40_L005_R1_001.fastq.gz	fail	Conventional base calls	pass	pass	pass	0.0	warn	Sanger / Illumina 1.9	fail	fail	204480045.0	151.0	48.0	fail	16.689810438213627	pass	151.0
