Sample	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-reads_aligned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-10_x_pc	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	featureCounts_mqc-generalstats-featurecounts-percent_assigned	QualiMap_mqc-generalstats-qualimap-mean_coverage	FastQC_mqc-generalstats-fastqc-median_sequence_length	QualiMap_mqc-generalstats-qualimap-50_x_pc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped	QualiMap_mqc-generalstats-qualimap-regions_size	QualiMap_mqc-generalstats-qualimap-general_error_rate	FastQC_mqc-generalstats-fastqc-percent_fails	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-total_reads	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-regions_mapped_reads	QualiMap_mqc-generalstats-qualimap-median_insert_size	FastQC_mqc-generalstats-fastqc-percent_duplicates	QualiMap_mqc-generalstats-qualimap-percentage_aligned_on_target	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc
alignment | star |						4.31						53735647.0																
fastq | qc | Int-01_S42_L005_R1_001									151		151.0				36.36363636363637			49.0	124241212.0						91.26436355509792			
fastq | qc | Int-01_S42_L005_R2_001									151		151.0				45.45454545454545			50.0	124241212.0						91.67025110934587			
fastq | qc | Int-02_S43_L005_R1_001									151		151.0				45.45454545454545			50.0	157425190.0						92.7129884711209			
fastq | qc | Int-02_S43_L005_R2_001									151		151.0				45.45454545454545			51.0	157425190.0						92.96557353005024			
fastq | qc | Int-03_S44_L005_R1_001									151		151.0				36.36363636363637			49.0	135259783.0						86.20929242959802			
fastq | qc | Int-03_S44_L005_R2_001									151		151.0				45.45454545454545			50.0	135259783.0						87.26784735964442			
fastq | qc | Int-04_S45_L005_R1_001									151		151.0				36.36363636363637			49.0	179662246.0						86.12588274270473			
fastq | qc | Int-04_S45_L005_R2_001									151		151.0				45.45454545454545			50.0	179662246.0						87.78580703249071			
fastq | qc | Liv-01_S38_L005_R1_001									151		151.0				45.45454545454545			49.0	201832955.0						85.24789464798066			
fastq | qc | Liv-01_S38_L005_R2_001									151		151.0				54.54545454545454			50.0	201832955.0						87.12453536989233			
fastq | qc | Liv-02_S39_L005_R1_001									151		151.0				36.36363636363637			52.0	147599477.0						94.31037208265003			
fastq | qc | Liv-02_S39_L005_R2_001									151		151.0				54.54545454545454			53.0	147599477.0						94.1862474696561			
fastq | qc | Liv-03_S40_L005_R1_001									151		151.0				45.45454545454545			48.0	204480045.0						83.31018956178637			
