Module	Section	Sample Name	Source
QualiMap	genome_results	star_qualimap | star | bam |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/bam/genome_results.txt
QualiMap	coverage_histogram	star_qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/bam/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	star_qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/bam/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	star_qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/bam/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	rna_genome_results	star_qualimap | star | rnaseq |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/rnaseq/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	star_qualimap | star | rnaseq | raw_data_qualimapReport | rnaseq	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_qualimap/star/rnaseq/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
featureCounts	all_sections	star_counting | counts | star	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/star_counting/counts/star_counts.tsv.summary
STAR	SummaryLog	alignment | star |	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/alignment/star/Log.final.out
FastQC	all_sections	fastq | qc | Int-01_S42_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-01_S42_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-01_S42_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-01_S42_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-02_S43_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-02_S43_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-02_S43_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-02_S43_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-03_S44_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-03_S44_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-03_S44_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-03_S44_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-04_S45_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-04_S45_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Int-04_S45_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Int-04_S45_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-01_S38_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-01_S38_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-01_S38_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-01_S38_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-02_S39_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-02_S39_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-02_S39_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-02_S39_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-03_S40_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-03_S40_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-03_S40_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-03_S40_L005_R2_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-04_S41_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-04_S41_L005_R1_001_fastqc.zip
FastQC	all_sections	fastq | qc | Liv-04_S41_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/fastq/qc/Liv-04_S41_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-01_S42_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-01_S42_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-01_S42_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-01_S42_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-02_S43_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-02_S43_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-02_S43_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-02_S43_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-03_S44_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-03_S44_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-03_S44_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-03_S44_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-04_S45_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-04_S45_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Int-04_S45_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Int-04_S45_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-01_S38_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-01_S38_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-01_S38_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-01_S38_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-02_S39_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-02_S39_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-02_S39_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-02_S39_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-03_S40_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-03_S40_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-03_S40_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-03_S40_L005_R2_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-04_S41_L005_R1_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-04_S41_L005_R1_001_fastqc.zip
FastQC	all_sections	trimmed | qc | Liv-04_S41_L005_R2_001	/data/users/corwinbm5021/Sm_Mira_IvT/pipeline_star/trimmed/qc/Liv-04_S41_L005_R2_001_fastqc.zip
